Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Île-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;77047;Bouleurs;221;8;0;291;87;163;73;98;18;2;1;14;35;1011
;77048;Bourron-Marlotte;430;4;8;484;140;308;185;142;40;6;1;19;63;1829
;77049;Boutigny;155;3;1;194;47;85;61;45;12;0;3;4;18;629
;77050;Bransles;40;4;1;81;18;66;33;40;13;0;0;7;17;320
;77051;Bray-sur-Seine;174;3;0;354;55;208;83;141;44;1;0;16;55;1136
;77052;Bréau;39;0;2;92;6;44;22;14;6;1;0;2;6;235
;77053;Brie-Comte-Robert;3196;30;28;3175;811;1719;815;759;142;87;4;60;211;11036
;77054;La Brosse-Montceaux;66;1;1;148;26;95;53;67;13;1;2;5;10;488
;77055;Brou-sur-Chantereine;517;11;3;488;214;396;245;211;35;7;0;12;55;2195
;77056;Burcy;16;2;0;32;2;24;8;6;4;0;0;4;7;105
;77057;Bussières;39;1;1;62;18;51;21;28;6;0;0;4;7;238
;77058;Bussy-Saint-Georges;3839;33;61;3797;939;1754;903;743;154;75;0;35;155;12490
;77059;Bussy-Saint-Martin;195;0;9;281;45;75;55;29;3;5;0;3;9;708
;77060;Buthiers;91;1;1;141;37;97;38;46;16;2;0;6;19;494
;77061;Cannes-Écluse;332;5;0;369;91;268;121;161;41;0;1;21;48;1458
;77062;Carnetin;91;5;0;89;19;36;30;38;5;0;1;3;23;342
;77063;La Celle-sur-Morin;151;5;1;218;60;163;76;91;22;3;0;13;29;831
;77065;Cély;178;5;1;228;64;124;77;68;16;4;1;7;29;802
;77066;Cerneux;20;0;1;53;7;33;9;29;6;1;0;8;7;175
;77067;Cesson;2077;20;17;1926;495;1011;502;440;75;31;1;24;141;6760
;77068;Cessoy-en-Montois;26;0;1;44;11;28;15;19;0;0;0;5;5;156
;77069;Chailly-en-Bière;382;6;4;392;122;237;149;130;34;2;0;17;47;1522
;77070;Chailly-en-Brie;177;5;1;261;76;143;83;93;23;3;0;7;45;917
