Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bretagne;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;22085;Kerbors;39;0;0;52;7;34;26;18;5;1;0;5;11;199
;22086;Kerfot;68;2;0;145;23;98;40;76;16;0;0;13;26;509
;22087;Kergrist-Moëlou;30;2;0;117;11;75;28;46;29;0;0;14;11;363
;22088;Kerien;14;0;0;47;3;37;13;19;5;0;0;3;7;149
;22090;Kermaria-Sulard;114;2;0;203;40;151;67;82;13;1;0;13;10;697
;22091;Kermoroc'h;22;2;0;81;9;60;14;38;10;1;0;4;4;247
;22092;Kerpert;18;0;0;36;7;31;16;20;11;0;0;8;7;155
;22093;Lamballe-Armor;1897;33;6;3921;592;2081;853;1151;298;42;3;149;357;11383
;22094;Lancieux;286;4;1;295;94;208;107;105;27;6;0;19;58;1209
;22095;Landebaëron;10;0;0;43;6;27;9;20;10;0;1;2;5;134
;22096;Landébia;35;1;0;75;25;55;31;37;8;1;0;6;17;291
;22097;La Landec;49;0;1;138;20;110;38;59;17;1;0;12;17;462
;22098;Landéhen;74;3;1;288;24;164;52;110;29;3;0;17;24;789
;22099;Lanfains;82;6;0;196;23;130;53;94;24;1;0;10;24;643
;22101;Langoat;115;3;0;175;42;159;55;79;34;2;0;25;19;710
;22104;Languédias;31;2;0;65;13;66;28;45;9;1;0;8;17;285
;22105;Languenan;97;2;0;234;32;157;57;88;37;2;2;20;28;757
;22106;Langueux;1163;17;7;1424;333;897;504;463;110;6;2;48;137;5110
;22107;Bon Repos sur Blavet;92;4;0;218;43;174;64;113;29;0;0;19;30;787
;22108;Lanleff;7;1;0;27;3;12;5;14;6;0;0;2;1;78
;22109;Lanloup;30;0;0;37;7;33;16;17;5;0;0;3;6;154
;22110;Lanmérin;57;1;0;95;16;70;37;41;14;1;0;4;4;340
;22111;Lanmodez;35;2;1;61;14;48;22;42;16;3;0;11;14;270
;22112;Lannebert;31;3;0;77;15;58;29;36;13;0;0;3;9;275
;22113;Lannion;4000;46;18;3379;904;2120;1250;1201;346;86;2;180;311;13844
;22114;Lanrelas;41;0;0;145;11;129;42;65;25;0;0;12;25;497
;22115;Lanrivain;27;1;0;72;8;61;25;39;15;0;0;12;12;272
;22116;Lanrodec;72;2;0;254;19;152;47;90;29;1;0;13;24;703
;22117;Lantic;157;2;0;337;56;213;76;123;30;2;1;15;22;1034
;22118;Lanvallay;580;13;2;734;199;460;246;270;74;4;2;39;105;2728
;22119;Lanvellec;52;3;0;84;23;75;37;42;14;1;0;7;13;352
;22121;Lanvollon;191;4;0;313;48;204;89;130;36;0;0;19;43;1078
;22122;Laurenan;44;0;0;110;13;86;31;55;21;0;0;16;20;396
;22124;Lescouët-Gouarec;9;0;1;31;6;27;11;16;9;0;0;3;4;117
;22126;Le Leslay;7;1;0;25;5;14;9;24;6;0;0;3;4;98
;22127;Lézardrieux;189;3;0;282;57;213;96;111;37;2;1;24;30;1044
;22128;Locarn;20;0;0;70;10;62;20;38;12;0;0;18;8;258
;22129;Loc-Envel;4;1;0;8;2;12;5;7;6;0;0;5;4;55
;22131;Loguivy-Plougras;54;3;0;157;16;110;53;64;31;0;0;23;26;537
;22132;Lohuec;19;1;0;40;1;25;18;29;10;0;0;9;8;161
;22133;Loscouët-sur-Meu;40;3;0;121;12;95;26;66;18;1;0;6;16;404
;22134;Louannec;554;10;7;566;143;376;223;166;47;13;1;30;58;2194
;22135;Louargat;162;1;1;406;54;322;124;207;72;0;0;48;58;1456
;22136;Loudéac;970;17;9;2072;291;1155;478;716;199;25;5;110;178;6226
;22137;Maël-Carhaix;115;0;0;275;34;185;83;128;36;0;1;12;28;897
;22138;Maël-Pestivien;24;1;0;46;10;34;20;28;20;0;0;11;6;202
;22139;Magoar;4;0;0;13;2;7;2;10;1;0;0;0;2;41
;22140;La Malhoure;50;0;0;119;8;79;19;46;12;0;0;3;13;350
;22141;Mantallot;18;0;0;45;6;31;11;27;11;0;0;1;2;153
;22143;Matignon;242;2;1;311;76;199;122;116;39;4;1;16;49;1177
;22144;La Méaugon;135;5;1;234;42;163;66;94;23;2;0;10;27;802
;22145;Mégrit;54;0;0;138;32;107;36;53;17;0;0;13;26;477
;22146;Mellionnec;27;2;0;51;8;57;20;37;20;1;1;9;15;250
;22147;Merdrignac;180;3;2;506;70;341;145;214;82;1;1;48;84;1677
;22148;Mérillac;13;0;1;39;8;34;11;23;6;0;0;3;4;143
;22149;Merléac;31;0;0;82;17;58;28;37;9;0;0;4;12;280
;22150;Le Merzer;86;0;0;182;21;146;39;70;29;1;0;15;9;599
