Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Pays de la Loire;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;44080;Lavau-sur-Loire;64;5;0;122;30;105;49;68;15;1;0;7;18;484
;44081;Legé;297;5;1;796;122;593;221;400;108;8;1;56;85;2694
;44082;Ligné;447;11;2;881;160;713;234;365;90;10;0;47;71;3031
;44083;La Limouzinière;155;4;1;394;69;340;100;166;43;5;1;19;38;1336
;44084;Le Loroux-Bottereau;880;16;5;1428;324;916;435;487;95;16;1;34;152;4789
;44085;Louisfert;56;2;0;178;31;144;50;95;33;2;0;23;36;651
;44086;Lusanger;56;3;0;174;18;138;52;94;34;1;0;19;15;604
;44087;Machecoul-Saint-Même;689;6;5;1445;245;999;420;596;211;9;0;70;156;4852
;44088;Maisdon-sur-Sèvre;279;15;1;435;122;369;155;219;70;4;0;28;56;1754
;44089;Malville;302;13;2;733;132;508;190;256;60;6;1;26;54;2282
;44090;La Marne;100;3;1;277;45;216;60;120;36;0;0;16;31;905
;44091;Marsac-sur-Don;83;2;2;238;27;216;71;130;50;2;0;29;39;888
;44092;Massérac;40;1;1;81;12;73;26;72;30;0;0;16;19;372
;44094;Mauves-sur-Loire;372;12;2;535;156;387;205;179;56;12;0;19;55;1990
;44095;La Meilleraye-de-Bretagne;75;4;0;250;30;217;90;143;35;4;0;14;35;897
;44096;Mésanger;345;9;4;842;147;640;260;391;106;8;0;47;77;2877
;44097;Mesquer;395;6;1;391;121;224;171;129;22;6;0;16;45;1527
;44098;Missillac;459;12;3;873;160;636;240;446;118;1;1;72;128;3149
;44099;Moisdon-la-Rivière;116;2;0;303;42;243;90;195;67;1;0;29;45;1132
;44100;Monnières;208;4;4;348;76;293;143;163;23;4;2;13;40;1323
;44101;La Montagne;721;25;6;1034;324;792;407;382;100;9;1;48;150;4000
;44102;Montbert;271;8;1;545;138;377;168;212;61;12;1;26;65;1885
;44103;Montoir-de-Bretagne;822;11;6;1388;311;848;435;493;122;21;1;45;127;4628
;44104;Montrelais;45;3;0;160;25;112;36;83;22;1;0;11;19;517
;44105;Mouais;12;0;0;53;5;44;18;37;14;1;0;3;13;202
;44106;Les Moutiers-en-Retz;247;6;2;326;82;178;97;112;28;4;0;9;51;1143
;44107;Mouzeil;111;12;1;338;48;256;72;146;31;6;0;23;33;1079
;44108;Mouzillon;216;10;0;521;129;321;165;172;40;7;0;26;56;1664
;44109;Nantes;33049;1142;309;31420;12617;20849;14918;10945;2452;409;46;942;3348;132446
;44110;Nort-sur-Erdre;754;19;5;1538;308;1100;490;631;187;10;1;105;191;5338
;44111;Notre-Dame-des-Landes;137;3;1;339;67;345;127;196;56;5;1;27;48;1353
;44112;Noyal-sur-Brutz;36;0;0;100;17;73;27;56;16;0;0;9;15;350
;44113;Nozay;296;4;2;691;105;482;203;294;84;4;0;45;82;2292
;44114;Orvault;6379;75;73;7241;1451;2364;1566;995;199;175;8;105;321;20952
;44115;Oudon;366;13;3;703;119;490;192;239;73;11;0;31;78;2318
;44116;Paimboeuf;258;4;2;405;88;347;184;216;48;2;0;29;46;1628
;44117;Le Pallet;291;12;4;541;124;402;178;189;49;12;0;35;61;1898
;44118;Pannecé;62;6;0;214;34;211;73;126;36;0;0;23;26;810
;44119;Paulx;98;5;0;316;46;239;97;184;48;3;0;27;41;1104
;44120;Le Pellerin;486;23;1;757;223;683;313;346;68;8;0;43;86;3036
;44121;Petit-Auverné;15;1;0;47;6;61;18;54;11;0;0;10;10;233
;44122;Petit-Mars;327;11;2;705;131;475;191;276;67;4;1;41;76;2307
;44123;Pierric;46;2;0;147;23;125;53;97;33;1;1;21;33;583
;44124;Le Pin;38;2;0;128;18;95;36;57;24;0;0;11;15;423
;44125;Piriac-sur-Mer;410;13;3;472;126;282;180;148;36;5;1;14;77;1767
;44126;La Plaine-sur-Mer;570;11;2;795;172;588;270;313;84;7;0;40;81;2932
;44127;La Planche;213;2;3;403;81;332;154;186;43;6;0;24;61;1509
;44128;Plessé;316;17;2;748;147;661;239;418;122;13;1;71;120;2874
;44129;Pontchâteau;1027;21;7;1857;390;1322;595;815;214;21;0;106;214;6588
;44130;Pont-Saint-Martin;753;19;6;1129;303;755;379;347;108;20;1;52;125;3998
;44131;Pornic;3111;46;29;3249;899;1798;1032;873;225;66;2;118;341;11788
;44132;Pornichet;2460;26;26;1989;790;1191;826;538;115;39;5;53;295;8354
;44133;Port-Saint-Père;253;5;0;500;107;422;181;236;46;6;1;24;55;1836
;44134;Pouillé-les-Côteaux;58;4;0;167;24;147;48;92;25;1;0;15;26;607
;44135;Le Pouliguen;1028;13;5;629;339;442;390;188;53;8;1;33;159;3287
;44136;Préfailles;242;5;3;255;90;156;116;66;27;5;0;14;50;1027
;44137;Prinquiau;298;12;1;651;115;463;164;251;76;5;1;34;48;2119
;44138;Puceul;49;3;1;189;23;162;46;79;20;3;0;13;30;619
;44139;Quilly;101;4;0;218;44;179;66;132;33;3;0;12;20;811
;44140;La Regrippière;95;2;0;261;42;201;69;93;29;3;0;19;41;855
;44141;La Remaudière;74;9;0;205;31;167;66;104;32;1;0;12;19;720
;44142;Remouillé;151;5;0;340;74;253;86;156;35;0;1;12;30;1144
;44143;Rezé;5081;160;28;4812;2063;3806;2569;1956;451;50;10;175;553;21714
;44144;Riaillé;119;10;1;329;52;298;115;219;77;4;0;47;40;1311
;44145;Rouans;264;10;4;441;121;406;156;219;57;5;0;35;65;1781
;44146;Rougé;138;4;0;343;60;302;115;210;79;1;0;53;49;1353
;44148;Ruffigné;40;0;0;100;13;67;31;66;25;0;0;23;16;382
;44149;Saffré;201;6;1;628;98;560;190;346;117;3;0;66;82;2296
;44150;Saint-Aignan-Grandlieu;497;12;3;892;186;511;259;287;77;18;0;28;95;2864
;44151;Saint-André-des-Eaux;1105;29;5;1190;353;700;434;323;76;19;2;40;122;4397
;44152;Sainte-Anne-sur-Brivet;199;5;3;488;103;426;162;212;70;4;1;34;97;1806
;44153;Saint-Aubin-des-Châteaux;115;5;0;259;35;217;83;185;62;3;0;41;35;1041
;44154;Saint-Brevin-les-Pins;2130;47;6;2311;682;1570;944;867;199;29;3;88;288;9163
;44155;Saint-Colomban;237;9;3;545;104;443;162;284;65;3;0;46;80;1980
;44156;Corcoué-sur-Logne;185;8;0;465;75;379;132;257;66;3;1;27;66;1664
;44157;Saint-Étienne-de-Mer-Morte;88;5;0;286;38;230;75;139;37;1;0;24;29;953
;44158;Saint-Étienne-de-Montluc;1217;26;14;1632;353;893;496;388;75;25;0;43;160;5321
;44159;Saint-Fiacre-sur-Maine;145;5;1;215;50;145;78;83;18;1;0;12;25;780
;44161;Saint-Gildas-des-Bois;330;7;0;590;130;488;222;258;82;7;0;41;92;2247
;44162;Saint-Herblain;8438;130;92;10348;2392;4700;2676;2287;451;199;0;185;508;32406
;44163;Vair-sur-Loire;360;11;1;815;133;628;247;384;110;6;1;53;105;2854
;44164;Saint-Hilaire-de-Chaléons;133;7;2;399;76;289;118;178;50;4;0;21;49;1327
;44165;Saint-Hilaire-de-Clisson;205;9;1;397;89;298;129;159;30;4;0;11;47;1379
;44166;Saint-Jean-de-Boiseau;605;21;6;813;291;687;341;387;92;7;2;32;108;3392
;44168;Saint-Joachim;360;12;0;593;164;536;262;346;75;2;0;38;101;2490
;44169;Saint-Julien-de-Concelles;849;31;3;1259;321;854;453;452;110;20;2;49;126;4528
;44170;Saint-Julien-de-Vouvantes;42;0;0;107;15;134;44;97;42;0;0;17;18;515
;44171;Saint-Léger-les-Vignes;199;7;1;332;89;227;108;133;31;2;0;14;50;1193
;44172;Sainte-Luce-sur-Loire;2277;38;14;2492;765;1524;963;678;130;32;2;50;200;9164
;44173;Saint-Lumine-de-Clisson;249;7;4;368;69;303;135;145;30;4;0;26;35;1374
;44174;Saint-Lumine-de-Coutais;132;10;0;349;71;305;111;163;45;6;1;23;39;1254
;44175;Saint-Lyphard;639;15;7;827;193;549;288;255;65;14;1;34;93;2980
;44176;Saint-Malo-de-Guersac;367;8;0;499;152;388;225;251;64;4;0;34;70;2061
;44178;Saint-Mars-de-Coutais;200;4;2;421;86;335;147;207;58;3;0;28;62;1553
;44179;Saint-Mars-du-Désert;510;18;2;874;220;624;327;346;91;13;0;57;81;3164
