Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Auvergne-Rhône-Alpes;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;01081;Champfromier;82;0;0;237;24;98;43;32;6;1;0;4;12;539
;01082;Chanay;62;1;1;116;23;63;38;42;7;3;1;8;27;392
;01083;Chaneins;91;3;1;180;35;134;61;69;24;0;0;8;15;621
;01084;Chanoz-Châtenay;107;1;0;158;28;119;53;56;9;2;0;5;9;547
;01085;La Chapelle-du-Châtelard;50;0;0;76;11;52;18;26;5;1;0;2;5;247
;01087;Charix;36;1;0;54;14;30;14;19;3;1;0;3;4;180
;01088;Charnoz-sur-Ain;138;4;1;208;46;146;50;60;16;3;0;7;29;709
;01089;Château-Gaillard;417;2;2;576;91;271;133;170;35;7;0;17;49;1769
;01090;Châtenay;31;1;0;64;12;41;24;20;5;0;0;7;16;222
;01092;Châtillon-la-Palud;173;2;2;324;65;189;102;127;30;2;0;13;31;1060
;01093;Châtillon-sur-Chalaronne;620;9;0;894;232;531;291;281;63;8;1;25;93;3048
;01094;Chavannes-sur-Reyssouze;67;0;0;117;32;112;39;59;11;0;0;8;16;461
;01095;Nivigne et Suran;94;5;0;140;28;100;34;56;15;2;0;10;18;503
;01096;Chaveyriat;96;1;0;168;41;134;61;82;19;6;1;13;24;645
;01098;Chazey-Bons;149;1;0;189;39;150;78;106;22;1;0;13;35;784
;01099;Chazey-sur-Ain;216;3;1;305;78;185;88;98;29;4;0;17;26;1050
;01100;Cheignieu-la-Balme;18;0;0;18;10;19;7;7;7;0;0;2;6;94
;01101;Chevillard;19;0;0;33;8;15;6;10;1;0;1;0;3;96
;01102;Chevroux;83;0;0;184;41;128;58;59;14;2;0;6;21;595
;01103;Chevry;401;2;4;346;113;137;93;53;11;2;0;14;30;1207
;01104;Chézery-Forens;58;2;0;71;22;51;22;28;6;0;0;4;11;276
;01105;Civrieux;276;0;4;383;81;197;93;73;13;6;0;5;33;1165
;01106;Cize;22;0;0;30;5;24;16;14;4;0;0;2;4;121
;01107;Cleyzieu;12;2;0;27;5;10;11;10;4;1;0;5;4;91
;01108;Coligny;144;2;1;173;39;132;74;98;25;4;0;19;41;752
;01109;Collonges;371;1;1;424;107;201;109;81;14;12;0;7;45;1373
;01110;Colomieu;9;0;0;15;7;21;11;10;1;0;0;2;6;83
;01111;Conand;11;0;0;20;3;13;12;10;3;0;0;1;7;81
;01112;Condamine;61;1;0;96;20;48;10;29;5;0;1;1;5;277
;01113;Condeissiat;91;0;0;146;23;104;53;71;9;0;0;6;10;513
;01114;Confort;78;0;1;121;28;62;31;25;8;0;0;2;10;366
;01115;Confrançon;146;4;0;247;65;171;75;87;18;2;2;13;22;853
;01116;Contrevoz;60;0;0;80;20;52;36;33;11;1;0;5;8;305
;01117;Conzieu;9;0;0;18;1;21;3;14;3;0;0;2;4;76
;01118;Corbonod;104;1;1;233;48;131;71;78;32;6;0;19;42;767
;01121;Corlier;6;0;0;34;3;14;6;6;2;0;0;1;2;74
;01123;Cormoranche-sur-Saône;143;1;0;205;40;136;57;68;7;1;1;12;33;704
;01124;Cormoz;60;0;0;160;14;85;38;48;13;0;0;8;20;447
;01125;Corveissiat;88;1;0;112;19;71;32;42;15;3;0;6;8;397
;01127;Courmangoux;48;1;0;101;24;47;36;35;9;0;0;3;14;318
;01128;Courtes;29;0;0;56;12;37;14;19;8;0;0;8;7;190
;01129;Crans;32;0;0;48;9;30;15;16;7;0;0;2;6;166
;01130;Bresse Vallons;247;4;1;454;95;273;128;152;38;1;2;25;62;1481
;01133;Cressin-Rochefort;52;1;0;78;18;50;26;30;4;0;0;4;9;272
;01134;Crottet;233;1;0;367;66;205;95;126;35;4;1;6;37;1175
;01135;Crozet;413;2;7;374;137;178;140;90;18;16;0;15;52;1442
;01136;Cruzilles-lès-Mépillat;102;2;1;158;31;130;33;57;18;2;0;6;20;560
;01138;Culoz;242;5;0;498;121;365;165;246;56;2;0;26;69;1795
;01139;Curciat-Dongalon;30;0;0;62;9;58;32;41;11;1;0;15;20;278
;01140;Curtafond;102;3;1;150;21;99;46;43;8;0;0;6;15;495
;01141;Cuzieu;58;0;0;77;17;58;23;29;10;0;0;7;11;291
;01142;Dagneux;825;8;5;1096;239;628;237;293;71;10;0;27;78;3517
;01143;Divonne-les-Bains;2288;11;32;1899;639;609;483;229;34;53;2;12;136;6428
;01145;Dompierre-sur-Veyle;117;2;0;243;46;160;53;92;16;3;0;13;23;768
;01146;Dompierre-sur-Chalaronne;46;3;1;83;17;58;23;31;11;0;0;6;9;288
;01147;Domsure;43;0;0;81;19;76;26;52;12;0;0;9;7;324
;01148;Dortan;282;6;0;386;53;243;94;133;27;0;0;22;28;1275
;01149;Douvres;168;1;2;176;46;131;57;76;13;7;1;17;23;718
;01150;Drom;22;0;0;26;13;28;9;15;4;0;1;4;5;128
;01151;Druillat;129;6;0;232;47;128;54;78;22;3;1;9;32;741
;01152;Échallon;117;4;0;188;29;85;43;45;6;2;1;2;17;539
;01153;Échenevex;473;1;8;425;113;163;102;48;13;12;0;5;33;1396
;01155;Évosges;17;0;0;24;3;22;15;12;1;0;0;0;6;100
;01156;Faramans;116;0;1;173;38;98;48;45;15;0;0;8;9;551
;01157;Fareins;342;4;1;515;103;254;139;126;35;5;1;17;35;1577
;01158;Farges;210;1;0;161;56;60;59;37;8;3;2;5;22;624
;01159;Feillens;466;7;1;702;162;452;185;266;62;3;0;32;70;2407
;01160;Ferney-Voltaire;1557;6;20;1067;509;514;475;231;47;21;2;14;84;4548
;01162;Flaxieu;9;0;0;9;3;6;5;6;1;0;0;2;2;43
;01163;Foissiat;221;0;1;379;78;283;121;136;36;4;0;19;58;1335
;01165;Francheleins;172;1;1;296;70;209;72;96;11;5;1;7;31;972
;01166;Frans;346;1;3;473;116;285;139;120;45;4;1;11;31;1575
;01167;Garnerans;83;1;0;139;26;64;51;48;12;1;0;4;14;444
;01169;Genouilleux;66;1;1;131;22;67;35;41;6;0;0;5;14;389
;01170;Béard-Géovreissiat;136;2;1;245;40;122;47;73;15;0;0;1;8;690
;01171;Géovreisset;127;2;0;173;34;93;46;59;11;2;0;2;17;566
;01173;Gex;2492;15;18;2536;782;1053;553;411;78;29;6;27;126;8126
;01174;Giron;16;1;0;41;7;26;8;10;4;1;0;3;1;120
;01175;Gorrevod;92;1;1;148;29;99;48;58;15;1;0;8;14;513
;01177;Grand-Corent;15;1;0;30;10;20;8;9;2;0;1;1;0;99
;01179;Grièges;220;5;1;353;79;235;111;142;23;0;0;14;43;1225
;01180;Grilly;217;0;3;158;67;59;47;26;1;7;1;3;12;602
;01181;Groissiat;215;1;2;298;52;123;51;55;14;2;2;6;21;842
;01183;Guéreins;178;4;1;344;59;184;101;93;23;4;0;9;36;1034
;01184;Hautecourt-Romanèche;103;2;0;120;25;96;46;52;19;0;1;11;17;492
;01185;Plateau d'Hauteville;505;5;0;782;190;456;223;224;70;4;0;20;77;2558
;01187;Haut Valromey;66;1;0;147;21;90;38;42;11;1;0;9;11;438
;01188;Illiat;70;1;1;119;18;72;32;38;9;2;0;4;12;380
;01189;Injoux-Génissiat;143;2;0;226;53;141;48;78;27;4;1;8;26;757
;01190;Innimond;9;0;0;17;3;12;2;5;3;1;0;4;4;60
;01191;Izenave;15;1;0;32;7;20;5;13;1;1;1;1;5;102
;01192;Izernore;281;7;2;479;89;248;105;135;24;3;2;16;37;1428
;01193;Izieu;25;0;1;32;8;24;14;23;13;0;0;5;6;151
;01194;Jassans-Riottier;835;25;11;1017;337;640;378;352;72;7;0;18;100;3790
;01195;Jasseron;277;3;1;310;72;186;124;101;25;5;0;10;33;1147
;01196;Jayat;117;3;0;221;34;139;60;73;20;3;0;3;29;702
;01197;Journans;47;2;1;66;19;39;21;21;9;0;0;1;9;237
;01198;Joyeux;23;1;0;48;13;23;12;21;6;0;0;4;10;160
;01199;Jujurieux;259;5;0;343;78;218;109;148;22;6;0;16;38;1244
;01200;Labalme;12;1;0;44;5;35;17;19;6;0;0;3;3;146
;01202;Lagnieu;793;10;7;1170;296;879;427;517;126;8;0;74;147;4454
;01203;Laiz;157;4;0;257;49;145;79;68;17;2;0;8;22;808
;01204;Le Poizat-Lalleyriat;79;2;0;156;31;72;25;31;10;0;0;1;11;419
;01206;Lantenay;45;0;1;51;9;32;10;16;6;0;0;2;8;181
;01207;Lapeyrouse;35;0;0;65;11;43;15;19;2;2;0;3;4;200
;01208;Lavours;10;1;0;26;6;15;12;13;1;1;0;1;8;95
;01209;Léaz;93;1;1;155;42;86;33;34;9;0;0;2;13;469
;01210;Lélex;31;0;0;46;6;16;17;16;6;1;0;1;9;150
;01211;Lent;205;5;1;260;64;163;75;85;17;5;0;10;24;913
;01212;Lescheroux;62;4;0;127;18;90;25;50;14;0;0;16;23;430
;01213;Leyment;140;2;2;219;66;193;86;115;35;2;0;16;28;904
;01214;Leyssard;20;0;0;33;3;19;12;15;2;0;0;1;4;109
;01215;Surjoux-Lhopital;15;1;0;29;3;15;11;7;4;0;0;0;7;92
;01216;Lhuis;91;0;0;146;28;104;43;61;19;0;0;16;24;533
;01219;Lompnas;8;0;0;28;6;15;11;14;4;0;0;9;5;101
;01224;Loyettes;304;4;1;596;104;411;143;245;42;6;0;45;45;1945
;01225;Lurcy;44;1;0;92;17;48;21;30;6;3;0;3;9;274
;01227;Magnieu;77;0;1;102;35;79;40;55;13;0;0;6;21;428
;01228;Maillat;77;1;0;144;25;91;23;45;9;2;0;2;7;426
;01229;Malafretaz;180;2;0;242;53;145;50;65;21;2;1;6;22;788
;01230;Mantenay-Montlin;32;0;0;46;15;47;19;22;4;0;0;8;6;199
;01231;Manziat;231;2;0;450;67;239;127;121;41;2;0;16;48;1344
;01232;Marboz;255;4;2;418;87;273;139;160;37;4;0;19;73;1471
;01233;Marchamp;12;1;1;21;5;21;4;12;5;0;0;2;6;90
;01234;Marignieu;18;0;0;34;7;28;8;11;6;0;0;1;7;119
;01235;Marlieux;85;1;0;221;46;156;58;68;14;0;0;8;19;676
;01236;Marsonnas;99;4;0;204;32;148;42;52;17;3;0;12;29;642
;01237;Martignat;232;7;2;355;70;196;77;127;27;0;2;8;30;1133
;01238;Massieux;421;3;7;535;140;306;149;120;38;7;0;11;35;1773
;01239;Massignieu-de-Rives;66;2;1;114;27;90;26;38;8;3;0;2;20;397
;01240;Matafelon-Granges;73;5;0;116;26;85;37;47;9;0;0;12;19;430
;01241;Meillonnas;180;1;0;235;74;151;96;86;12;2;1;11;57;906
;01242;Mérignat;11;0;0;12;3;10;9;5;5;0;0;1;4;61
;01243;Messimy-sur-Saône;167;4;1;261;63;164;83;71;20;1;0;6;23;864
;01244;Meximieux;915;22;9;1255;328;885;380;440;104;13;3;48;102;4506
;01245;Bohas-Meyriat-Rignat;107;2;1;165;35;125;50;66;18;2;0;9;30;610
;01246;Mézériat;241;6;1;401;85;279;122;123;32;3;0;21;47;1360
;01247;Mijoux;38;1;0;98;16;45;18;21;5;0;0;2;8;252
