Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Grand Est;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;08085;Brieulles-sur-Bar;15;2;0;37;2;30;6;29;2;0;0;6;5;134
;08086;Briquenay;2;0;0;20;2;12;4;21;4;0;1;1;2;69
;08087;Brognon;10;0;0;47;4;15;4;16;4;0;0;0;3;103
;08088;Bulson;16;1;0;28;7;13;2;17;4;0;0;1;0;89
;08089;Buzancy;22;1;0;56;9;50;13;23;7;0;0;4;6;192
;08090;Carignan;212;5;1;500;86;362;121;203;39;1;0;29;46;1605
;08092;Cauroy;15;0;0;53;8;26;11;14;7;0;0;1;4;139
;08094;Cernion;3;0;0;13;1;6;3;3;4;0;0;3;1;37
;08095;Chagny;14;1;0;44;4;24;5;17;5;0;0;1;5;120
;08096;Chalandry-Elaire;110;1;1;154;32;106;30;46;10;3;0;5;6;505
;08097;Challerange;31;0;0;100;12;56;22;45;10;0;0;7;12;295
;08098;Champigneulle;5;0;0;13;0;4;3;6;0;0;1;0;3;35
;08099;Champigneul-sur-Vence;18;0;0;35;1;14;0;7;1;0;0;1;1;79
;08100;Champlin;3;0;0;19;1;8;3;7;3;1;0;1;3;50
;08101;La Chapelle;15;0;0;48;5;17;1;16;2;2;0;4;6;117
;08102;Chappes;4;0;0;24;2;12;2;4;3;0;0;3;1;56
;08103;Charbogne;11;1;0;51;5;34;8;19;8;0;0;5;5;147
;08104;Chardeny;5;0;0;11;1;5;2;3;2;0;0;0;1;30
;08105;Charleville-Mézières;5312;98;34;6549;1601;4258;2003;2409;559;118;11;188;581;23721
;08106;Charnois;4;2;0;11;1;12;3;7;1;0;0;0;4;45
;08107;Château-Porcien;75;1;1;262;32;163;44;85;24;3;1;19;25;736
;08109;Chatel-Chéhéry;14;0;0;25;1;14;7;18;1;0;0;10;6;96
;08110;Le Châtelet-sur-Sormonne;15;1;0;34;4;18;8;6;9;1;0;3;3;103
;08111;Le Châtelet-sur-Retourne;64;3;0;206;17;85;33;39;5;2;0;1;9;464
;08113;Chaumont-Porcien;32;0;0;98;7;65;17;43;11;0;0;11;12;296
;08115;Chémery-Chéhéry;45;3;0;112;13;73;19;45;16;1;0;13;5;346
;08116;Bairon et ses environs;59;2;0;209;31;142;40;85;27;1;0;16;21;633
;08117;Chesnois-Auboncourt;1;0;0;35;0;21;7;12;4;0;0;2;3;86
;08119;Cheveuges;52;4;2;128;23;80;31;36;6;0;0;2;9;372
;08120;Chevières;4;0;0;5;1;7;4;5;0;0;0;3;3;32
;08121;Chilly;12;0;0;26;5;21;6;11;5;0;0;0;2;87
;08122;Chooz;89;4;1;178;23;83;30;60;15;4;1;3;16;506
;08123;Chuffilly-Roche;3;0;0;8;1;16;4;6;5;1;0;4;3;52
;08124;Clavy-Warby;37;3;0;101;8;50;15;23;5;1;0;2;8;254
;08125;Cliron;79;1;0;154;27;99;24;29;12;3;0;6;13;447
;08126;Condé-lès-Herpy;11;0;0;38;5;33;12;15;3;0;0;5;3;126
;08128;Condé-lès-Autry;4;0;0;12;0;9;3;4;7;0;0;2;1;42
;08130;Contreuve;7;0;0;19;2;12;1;5;4;1;0;0;1;52
;08131;Cornay;4;0;0;13;2;9;1;5;4;1;0;1;0;40
;08132;Corny-Machéroménil;5;0;0;43;5;24;6;21;8;0;0;4;3;119
;08133;Coucy;42;1;0;93;17;82;18;26;13;0;0;6;5;303
;08134;Coulommes-et-Marqueny;9;0;0;25;1;10;5;7;4;0;0;1;0;62
;08135;La Croix-aux-Bois;5;1;0;20;8;20;10;13;5;0;0;1;3;86
;08136;Daigny;27;2;0;88;19;48;17;43;7;2;0;8;4;265
;08137;Damouzy;68;4;1;80;23;52;22;38;7;0;1;4;7;308
;08138;Les Deux-Villes;16;1;0;44;7;33;11;16;8;0;0;1;4;141
;08139;Deville;78;2;0;158;24;115;61;63;22;2;2;8;15;550
;08140;Dom-le-Mesnil;120;2;0;214;31;138;44;66;18;1;0;12;15;660
;08141;Dommery;20;0;0;36;9;21;7;19;7;0;0;4;5;128
;08142;Donchery;219;7;2;419;79;257;94;134;34;1;0;15;33;1296
;08143;Doumely-Bégny;2;0;0;21;0;14;0;6;3;1;0;1;2;50
;08144;Doux;5;0;0;19;7;16;4;8;3;0;0;2;3;67
;08145;Douzy;177;3;1;421;84;309;85;162;33;2;1;15;24;1317
;08146;Draize;5;0;0;12;5;11;3;5;4;0;0;1;2;49
;08147;Dricourt;2;1;0;16;2;9;4;5;3;0;0;2;4;49
;08148;L'Écaille;19;0;0;53;4;38;9;15;4;1;0;1;3;148
;08149;L'Échelle;10;0;0;21;3;18;9;2;2;0;0;2;4;72
;08150;Écly;13;0;0;33;6;26;3;18;10;0;0;8;3;121
;08151;Écordal;23;2;0;53;5;34;17;31;10;0;0;5;6;185
;08153;Escombres-et-le-Chesnois;25;0;0;77;13;43;15;41;13;1;1;1;6;236
;08154;Estrebay;7;1;0;15;0;10;1;7;2;0;0;0;0;43
;08155;Étalle;8;0;0;20;3;15;1;2;3;0;0;0;3;55
;08156;Éteignières;35;0;0;90;13;59;16;32;13;0;0;9;14;283
;08158;Étrépigny;30;1;0;61;6;39;13;11;4;1;0;2;8;177
;08159;Euilly-et-Lombut;6;1;0;28;1;12;6;10;4;0;0;0;4;73
;08160;Évigny;23;0;0;45;9;20;9;6;5;0;0;1;4;123
;08161;Exermont;0;0;0;6;1;5;2;5;1;0;0;0;0;21
;08162;Fagnon;44;0;0;92;11;42;11;23;9;0;0;0;5;238
;08163;Faissault;17;0;0;64;9;34;6;17;7;1;0;2;7;165
;08164;Falaise;23;3;0;67;7;35;20;26;8;0;0;2;1;193
;08165;Faux;3;0;0;16;0;5;1;4;2;0;0;0;0;31
;08166;Fépin;21;2;0;43;3;34;11;24;9;0;0;2;6;156
;08167;La Férée;5;0;0;10;1;9;6;4;2;0;0;1;5;44
;08168;La Ferté-sur-Chiers;7;0;0;29;3;26;5;16;4;1;0;3;4;98
;08169;Flaignes-Havys;6;0;0;17;3;19;5;14;5;0;0;0;1;70
;08170;Fleigneux;16;2;0;45;10;30;9;23;8;0;0;1;0;146
;08171;Fléville;5;0;0;23;1;8;4;22;6;0;0;5;2;76
;08172;Fligny;3;1;0;14;2;11;3;19;9;0;0;3;0;65
;08173;Flize;233;1;1;335;78;246;88;109;30;2;0;14;33;1170
;08174;Floing;273;7;3;465;113;287;125;133;41;3;0;13;47;1511
;08175;Foisches;20;2;0;47;10;32;7;18;5;0;0;2;4;147
;08176;Fossé;4;0;0;9;2;9;1;3;1;1;0;0;0;30
;08178;Fraillicourt;9;0;0;33;3;19;6;16;8;0;0;7;10;112
;08179;Francheval;55;0;1;118;20;77;37;46;19;0;1;6;10;389
;08180;La Francheville;253;5;0;348;65;206;79;83;20;4;0;8;25;1094
;08182;Le Fréty;0;0;0;10;1;6;2;4;6;0;0;1;1;32
;08183;Fromelennes;82;4;1;190;26;139;38;60;20;8;0;10;17;594
;08184;Fromy;4;0;0;20;2;17;1;1;3;0;0;1;1;50
;08185;Fumay;239;11;0;409;80;367;146;245;80;4;0;32;51;1664
;08186;Germont;1;0;0;10;1;13;0;4;0;0;0;4;0;33
;08187;Gernelle;41;2;1;55;15;46;14;27;6;0;0;1;7;216
;08188;Gespunsart;98;3;0;150;42;118;49;86;29;2;1;20;33;631
;08189;Girondelle;8;0;0;31;1;17;6;23;5;0;0;3;1;96
;08190;Givet;560;30;6;858;205;619;284;353;96;18;2;28;125;3184
;08191;Givonne;115;5;0;250;43;137;56;72;19;1;0;9;21;730
;08192;Givron;4;0;1;18;1;10;2;6;3;0;0;0;3;48
;08193;Givry;11;1;0;49;7;42;11;29;4;1;0;1;2;159
;08194;Glaire;106;4;1;196;35;109;48;56;10;0;0;2;17;585
;08195;Gomont;19;0;0;68;8;42;12;27;4;0;0;2;9;190
;08196;Grandchamp;4;0;0;16;1;14;4;7;3;0;0;0;2;51
;08197;Grandham;3;0;0;4;0;5;2;4;4;0;0;2;3;27
;08198;Grandpré;34;0;0;100;17;51;33;35;9;0;0;9;25;313
;08199;La Grandville;102;3;0;151;39;110;45;41;12;1;0;12;19;537
;08200;Grivy-Loisy;14;2;0;37;7;23;3;12;2;0;0;8;2;110
;08201;Gruyères;7;1;0;23;5;7;2;9;4;1;0;0;2;61
;08202;Gué-d'Hossus;22;5;0;109;12;72;24;42;16;0;0;5;6;313
;08203;Guignicourt-sur-Vence;34;0;0;62;8;39;7;17;4;0;0;5;6;184
;08204;Guincourt;9;1;0;20;0;16;4;9;2;0;0;2;1;64
;08205;Hagnicourt;3;0;0;18;2;8;0;2;0;0;0;0;0;33
;08206;Ham-les-Moines;50;1;0;78;5;50;25;23;8;1;1;4;6;252
;08207;Ham-sur-Meuse;27;1;0;48;7;31;8;18;7;1;1;2;6;158
;08208;Hannappes;3;0;0;26;1;21;6;11;5;0;0;7;3;84
;08209;Hannogne-Saint-Martin;57;2;0;101;19;60;28;27;5;2;0;5;9;317
;08210;Hannogne-Saint-Rémy;3;0;0;15;2;17;3;14;3;1;0;2;3;64
;08211;Haraucourt;56;2;1;131;19;83;35;53;12;0;0;10;21;422
;08212;Harcy;50;0;0;117;12;77;17;37;16;0;0;4;10;342
;08214;Hargnies;29;2;0;77;13;54;17;44;15;0;0;4;8;263
;08215;Harricourt;2;0;0;5;0;7;4;3;3;0;0;0;1;25
;08216;Haudrecy;51;1;0;59;12;33;19;19;7;1;0;2;7;211
;08217;Haulmé;9;0;0;15;3;4;5;8;4;0;0;2;2;52
;08218;Les Hautes-Rivières;177;4;1;228;59;172;66;100;30;1;0;8;31;877
;08219;Hauteville;11;1;0;18;1;18;7;11;1;0;0;4;1;74
;08220;Hauviné;27;0;0;62;6;37;14;17;8;0;0;4;10;185
;08222;Haybes;189;2;0;377;72;241;69;128;40;1;0;19;36;1175
;08223;Herbeuval;8;0;0;28;10;14;1;13;2;0;0;3;3;82
;08225;Herpy-l'Arlésienne;10;0;0;48;4;29;12;16;5;0;0;3;1;127
;08226;Hierges;7;0;0;39;9;26;10;2;1;1;0;4;5;104
;08228;La Horgne;14;0;0;41;7;25;11;16;4;1;0;0;1;121
;08229;Houdilcourt;10;0;0;30;2;22;4;9;4;0;0;3;9;93
;08230;Houldizy;42;3;0;87;19;39;12;19;9;2;0;2;8;242
;08232;Illy;47;2;0;87;10;49;24;27;6;0;1;1;8;262
;08234;Inaumont;8;0;0;28;3;16;5;4;3;0;0;0;2;69
;08235;Issancourt-et-Rumel;45;0;0;90;21;44;19;35;15;0;0;4;7;279
;08236;Jandun;27;0;0;65;8;34;12;13;5;0;0;4;4;172
;08237;Joigny-sur-Meuse;88;3;0;109;25;75;42;40;15;0;0;4;11;412
;08238;Jonval;3;0;0;18;1;20;7;7;0;0;0;3;2;61
;08239;Juniville;98;0;3;290;25;170;38;88;15;0;0;12;26;764
;08240;Justine-Herbigny;6;0;0;29;3;17;8;17;9;0;0;6;3;98
;08242;Laifour;28;3;0;74;16;61;17;34;15;1;0;5;3;257
;08243;Lalobbe;17;1;0;25;6;24;3;15;5;1;0;5;11;114
;08244;Lametz;4;0;0;9;2;10;3;9;1;0;0;1;2;42
;08245;Lançon;4;0;0;10;2;1;2;0;0;1;0;3;0;23
;08246;Landres-et-Saint-Georges;3;1;0;6;2;13;7;6;6;0;0;3;4;52
;08247;Landrichamps;6;0;0;23;5;18;9;10;1;0;0;0;0;72
;08248;Launois-sur-Vence;50;3;0;127;22;80;27;44;14;1;0;11;10;389
;08249;Laval-Morency;20;2;0;53;8;41;7;15;4;0;0;3;8;162
;08250;Leffincourt;8;1;0;33;2;25;13;16;4;0;0;2;4;108
;08251;Lépron-les-Vallées;7;1;0;17;2;15;2;9;2;1;0;0;1;57
;08252;Létanne;6;0;0;18;1;20;3;12;8;2;0;0;1;73
;08254;Liart;38;0;0;94;11;63;37;30;12;0;0;9;8;303
;08255;Linay;13;0;0;27;5;23;8;25;4;0;0;3;3;112
;08256;Liry;5;0;0;17;1;11;6;10;1;0;0;3;3;57
;08257;Logny-Bogny;9;0;0;33;5;20;8;9;7;0;0;3;4;98
;08259;Longwé;4;0;0;18;2;14;2;9;8;0;0;3;1;61
;08260;Lonny;70;0;0;115;25;84;26;34;10;0;1;3;17;385
;08262;Lucquy;29;2;0;88;16;85;21;29;9;0;0;13;12;305
;08263;Lumes;137;1;0;267;37;137;56;70;10;2;0;5;13;735
;08264;Machault;25;1;0;100;14;70;20;31;15;0;0;3;7;287
;08268;Maisoncelle-et-Villers;4;0;0;17;4;10;3;5;2;0;0;0;3;48
;08269;Malandry;4;0;0;15;1;15;1;5;0;0;0;0;3;45
;08271;Manre;4;0;0;22;0;15;4;9;0;0;0;2;0;57
;08272;Maranwez;6;0;0;20;1;5;2;2;1;1;0;1;0;39
;08273;Marby;7;0;0;13;1;10;3;5;3;0;0;1;0;44
;08274;Marcq;7;0;0;9;2;15;3;12;3;0;0;3;7;62
;08275;Margny;20;0;0;53;2;24;6;12;1;0;0;0;2;121
