Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Normandie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;14457;Les Moutiers-en-Auge;6;0;0;19;3;9;2;8;7;0;0;4;5;63
;14458;Les Moutiers-en-Cinglais;33;1;0;88;10;55;18;44;11;1;0;3;7;271
;14460;Moyaux;145;3;1;241;48;190;80;113;29;1;0;15;43;908
;14461;Mutrécy;38;0;0;101;12;52;24;32;10;0;0;2;3;274
;14465;Nonant;66;0;1;125;10;62;28;29;5;0;0;6;15;347
;14466;Norolles;38;0;0;86;15;43;12;26;1;2;0;3;5;232
;14467;Noron-l'Abbaye;26;2;0;61;6;36;7;21;12;0;0;12;6;190
;14468;Noron-la-Poterie;40;0;0;84;19;46;19;30;6;0;1;6;10;261
;14469;Norrey-en-Auge;8;0;0;13;5;12;4;9;4;0;0;7;6;68
;14473;Notre-Dame-de-Livaye;16;0;0;23;4;17;7;7;2;0;0;3;11;90
;14474;Notre-Dame-d'Estrées-Corbon;19;2;0;32;2;23;5;21;3;1;0;5;5;119
;14475;Val d'Arry;213;2;3;437;58;273;113;143;54;5;0;22;47;1371
;14476;Olendon;12;1;0;34;4;22;6;15;6;0;0;2;3;106
;14478;Orbec;158;0;0;264;61;186;124;124;41;2;0;17;50;1028
;14480;Osmanville;35;1;0;87;19;71;22;40;9;1;0;5;13;304
;14483;Ouffières;15;1;0;31;4;29;6;9;8;0;0;3;3;111
;14484;Ouilly-du-Houley;34;1;0;42;11;33;15;21;5;0;0;7;7;177
;14486;Ouilly-le-Tesson;38;1;1;98;20;65;17;45;16;1;0;8;11;320
;14487;Ouilly-le-Vicomte;130;3;0;155;34;89;39;52;10;1;0;6;15;536
;14488;Ouistreham;1496;15;9;1490;514;925;584;452;108;19;4;52;164;5832
;14491;Parfouru-sur-Odon;29;0;0;42;11;20;9;17;7;0;0;3;6;145
;14492;Pennedepie;48;1;0;57;14;29;21;6;3;0;0;2;2;184
;14494;Périers-en-Auge;12;1;0;31;5;15;7;14;3;0;0;0;4;92
;14495;Périers-sur-le-Dan;104;1;3;112;20;61;33;24;10;0;0;5;14;387
;14496;Périgny;4;0;0;9;1;10;7;5;2;0;0;1;1;40
;14497;Perrières;19;2;0;50;10;40;11;28;6;0;0;6;7;180
;14498;Pertheville-Ners;18;0;0;47;3;35;10;17;12;0;1;5;5;153
;14499;Petiville;64;3;2;119;30;61;28;38;12;1;0;5;8;371
;14500;Pierrefitte-en-Auge;19;0;0;31;7;20;7;3;7;1;1;4;6;107
;14501;Pierrefitte-en-Cinglais;12;0;0;44;6;29;7;23;8;0;0;8;9;146
;14502;Pierrepont;8;2;0;18;1;7;5;9;4;0;0;2;1;57
;14504;Le Pin;80;1;1;138;36;98;44;56;26;0;0;8;21;508
;14506;Planquery;11;1;0;40;8;37;8;18;8;1;0;4;3;140
;14509;Plumetot;37;0;2;28;17;23;13;16;4;0;0;2;11;155
;14510;La Pommeraye;2;0;0;7;3;3;3;4;1;1;0;3;2;30
;14511;Pont-Bellanger;2;0;0;11;1;12;1;9;4;0;0;2;0;42
;14512;Pontécoulant;7;0;0;22;3;7;4;7;2;0;0;2;3;57
;14514;Pont-l'Évêque;642;5;7;869;181;457;288;218;73;12;0;32;149;2935
;14515;Port-en-Bessin-Huppain;231;7;1;332;79;189;99;95;20;1;0;14;30;1099
;14516;Potigny;131;4;0;340;53;239;74;143;51;0;0;25;41;1102
;14519;Préaux-Bocage;12;0;1;25;5;23;6;12;1;0;0;3;0;88
;14520;Le Pré-d'Auge;90;2;0;156;28;116;38;70;22;1;0;11;18;553
;14522;Prêtreville;41;2;1;81;17;44;16;22;10;0;0;7;16;259
;14524;Putot-en-Auge;49;2;1;65;14;45;15;26;6;1;0;4;7;235
;14527;Belle Vie en Auge;45;2;1;91;10;61;29;40;12;0;0;9;14;314
;14528;Quetteville;46;1;0;72;16;50;18;26;7;2;0;1;16;256
;14529;Ranchy;18;0;0;54;10;25;12;13;8;0;0;5;6;152
;14530;Ranville;301;2;3;352;87;216;108;96;38;10;0;25;35;1273
;14531;Rapilly;4;1;0;7;2;4;1;5;1;0;0;2;2;29
;14533;Repentigny;11;0;1;17;4;13;9;3;1;0;0;2;0;61
;14534;Reux;57;1;0;98;13;42;19;20;9;2;0;5;7;274
;14535;Reviers;81;1;0;114;34;63;29;38;5;2;1;6;14;389
;14536;La Rivière-Saint-Sauveur;400;5;3;445;130;263;126;133;35;5;0;10;40;1595
;14538;Castine-en-Plaine;160;2;4;439;60;200;82;85;19;2;0;12;17;1082
;14540;Rocques;40;1;0;58;21;24;32;17;10;1;0;0;15;219
;14541;La Roque-Baignard;18;0;0;22;3;19;4;7;2;0;1;2;3;81
;14542;Rosel;86;1;1;130;25;60;33;28;10;3;0;13;9;400
;14543;Rots;360;4;3;654;106;284;127;121;41;12;0;20;44;1776
;14546;Rouvres;13;0;0;52;4;22;6;30;11;1;0;3;3;146
;14547;Rubercy;9;0;0;30;4;14;5;5;4;1;0;0;4;76
;14550;Rumesnil;12;0;1;17;2;6;4;8;4;0;0;4;4;62
;14552;Ryes;79;1;0;87;20;58;37;37;9;2;0;5;12;346
;14554;Le Castelet;191;4;0;542;59;222;65;96;20;1;1;14;21;1235
;14555;Saint-André-d'Hébertot;45;2;0;103;17;53;24;29;6;0;0;10;17;307
;14556;Saint-André-sur-Orne;212;3;0;352;66;203;94;109;34;3;0;13;39;1127
;14557;Saint-Arnoult;282;0;4;201;76;66;78;37;8;5;0;3;50;810
;14558;Saint-Aubin-d'Arquenay;171;0;0;212;60;125;53;63;8;6;0;7;16;721
;14559;Saint-Aubin-des-Bois;17;1;0;43;5;37;9;20;14;0;0;8;5;160
;14562;Saint-Aubin-sur-Mer;397;7;2;410;137;256;169;123;24;3;0;12;54;1594
;14563;Saint-Benoît-d'Hébertot;37;1;0;76;10;48;24;27;9;0;0;3;19;253
;14565;Saint-Côme-de-Fresné;27;0;1;63;11;26;14;18;5;0;0;0;5;171
;14566;Saint-Contest;503;4;2;650;148;258;144;100;27;14;0;14;56;1921
;14569;Sainte-Croix-sur-Mer;33;2;0;57;9;29;18;16;1;0;0;6;9;180
;14570;Valorbiquet;230;7;0;428;65;302;105;176;60;2;0;41;60;1476
;14571;Saint-Denis-de-Mailloc;37;1;0;50;10;29;20;23;9;0;0;5;4;188
;14572;Saint-Denis-de-Méré;80;0;0;137;19;105;51;69;26;0;0;16;38;541
;14574;Saint-Désir;249;6;1;288;72;196;91;122;24;2;0;23;45;1119
;14575;Saint-Étienne-la-Thillaye;82;1;0;81;25;41;31;23;8;3;0;6;16;317
;14576;Val-de-Vie;51;1;0;98;11;54;25;43;14;0;0;18;22;338
;14578;Saint-Gatien-des-Bois;214;2;2;273;63;141;87;60;20;3;0;13;51;929
;14579;Seulline;81;3;0;329;19;201;52;111;40;0;0;21;34;892
;14582;Saint-Germain-de-Livet;85;2;0;126;33;83;40;43;25;1;0;13;19;471
;14586;Saint-Germain-du-Pert;11;0;0;44;4;22;7;12;6;1;0;2;7;116
;14587;Saint-Germain-la-Blanche-Herbe;308;3;0;283;129;183;115;114;26;3;0;9;22;1194
;14588;Saint-Germain-Langot;23;1;0;68;3;41;14;33;12;1;0;6;5;207
;14589;Saint-Germain-le-Vasson;68;2;1;149;31;132;33;84;30;0;0;15;23;568
;14590;Sainte-Honorine-de-Ducy;5;0;0;26;1;16;14;8;3;0;0;1;9;84
;14591;Aure sur Mer;80;0;0;144;25;89;39;68;19;2;0;7;19;494
;14592;Sainte-Honorine-du-Fay;165;3;1;293;46;162;63;101;11;0;0;11;19;874
;14593;Saint-Hymer;87;2;1;175;29;77;48;39;12;1;0;6;24;502
;14595;Saint-Jean-de-Livet;25;1;0;39;11;30;14;17;4;0;0;3;9;153
;14598;Saint-Jouin;20;0;0;51;6;37;20;17;3;2;0;1;5;162
;14601;Saint-Julien-sur-Calonne;17;0;0;33;11;21;14;13;8;1;0;5;14;138
;14602;Saint-Lambert;12;1;0;36;6;29;12;34;6;0;0;4;14;155
;14603;Saint-Laurent-de-Condel;39;0;1;109;10;60;25;33;10;1;0;11;10;311
;14605;Saint-Laurent-sur-Mer;35;1;1;69;12;37;19;26;1;2;1;5;9;219
;14606;Saint-Léger-Dubosq;15;0;1;44;10;28;13;12;6;0;0;3;3;135
;14607;Saint-Louet-sur-Seulles;9;0;0;29;4;15;8;15;7;1;0;7;1;97
;14609;Saint-Loup-Hors;68;1;0;132;17;43;21;27;8;4;0;4;7;333
;14610;Saint-Manvieu-Norrey;237;5;1;410;79;245;102;110;31;3;0;16;25;1264
;14613;Saint-Marcouf;13;2;0;10;5;13;4;7;7;0;0;3;4;68
;14614;Sainte-Marguerite-d'Elle;39;0;0;133;17;84;45;82;20;4;0;16;12;453
;14619;Sainte-Marie-Outre-l'Eau;5;1;0;14;2;17;10;9;5;0;0;3;3;69
;14620;Saint-Martin-aux-Chartrains;68;2;0;86;21;39;34;24;3;0;0;3;14;295
;14621;Saint-Martin-de-Bienfaite-la-Cressonnière;41;1;1;66;10;57;19;34;17;0;0;7;11;263
;14622;Saint-Martin-de-Blagny;8;0;1;24;3;20;2;9;6;0;0;6;3;82
;14623;Saint-Martin-de-Fontenay;382;8;1;454;95;283;127;156;47;2;1;19;33;1607
;14625;Saint-Martin-de-la-Lieue;102;0;0;149;40;98;59;52;17;0;0;12;24;555
;14626;Saint-Martin-de-Mailloc;112;5;1;166;35;120;43;65;20;0;1;16;19;604
;14627;Saint-Martin-de-Mieux;35;0;0;72;10;57;10;39;15;2;0;10;6;256
;14630;Saint-Martin-des-Entrées;92;2;0;182;26;77;34;51;11;0;0;7;14;497
;14635;Saint-Omer;17;0;0;30;5;23;6;20;4;0;0;8;2;115
;14637;Saint-Ouen-du-Mesnil-Oger;14;0;1;39;9;23;10;12;4;0;0;2;9;123
;14639;Saint-Ouen-le-Pin;36;0;0;40;7;31;10;25;9;0;0;6;10;175
;14640;Saint-Pair;22;0;0;54;13;26;19;25;7;0;0;8;10;185
;14643;Saint-Paul-du-Vernay;49;4;0;171;10;112;27;71;28;2;1;14;12;502
;14644;Saint-Philbert-des-Champs;86;4;1;123;41;77;26;44;11;1;1;12;24;452
;14645;Saint-Pierre-Azif;36;0;1;35;10;12;14;15;5;0;0;3;7;139
;14646;Saint-Pierre-Canivet;37;4;0;74;11;71;22;39;11;1;0;16;3;290
;14648;Saint-Pierre-des-Ifs;70;3;0;71;16;56;21;29;8;0;0;4;16;296
;14649;Saint-Pierre-du-Bû;48;0;0;85;12;52;15;39;9;0;0;9;13;283
;14650;Saint-Pierre-du-Fresne;9;0;0;37;1;28;2;16;8;0;0;0;5;107
;14651;Saint-Pierre-du-Jonquet;24;0;0;52;8;26;9;15;2;0;0;4;12;152
;14652;Saint-Pierre-du-Mont;7;0;0;16;3;10;6;5;0;0;0;1;2;50
;14654;Saint-Pierre-en-Auge;587;12;2;1135;185;832;343;600;196;7;0;138;191;4228
;14656;Saint-Rémy;81;2;0;178;25;116;53;80;36;2;0;20;14;608
;14657;Saint-Samson;38;0;0;55;15;44;20;22;9;0;0;2;10;215
;14658;Noues de Sienne;246;10;2;904;103;582;234;386;131;2;2;106;129;2837
;14659;Saint-Sylvain;115;6;1;284;39;169;56;95;20;2;1;9;28;826
;14660;Saint-Vaast-en-Auge;13;0;0;20;6;8;5;8;4;0;0;1;3;69
;14661;Saint-Vaast-sur-Seulles;8;0;1;36;7;15;4;9;10;0;0;3;2;96
;14663;Saint-Vigor-le-Grand;323;2;1;499;117;294;134;144;35;4;1;29;47;1630
;14664;Sallen;11;0;1;45;1;36;14;24;8;1;0;4;8;154
;14665;Sallenelles;31;0;1;62;7;30;18;21;4;2;1;4;9;189
;14667;Saon;18;0;0;49;4;33;10;17;4;0;0;2;5;143
;14668;Saonnet;14;1;0;57;6;39;12;18;8;0;0;2;3;161
;14669;Sassy;9;1;0;39;3;33;4;17;8;0;0;2;10;128
;14672;Val de Drôme;39;0;0;140;11;131;31;71;30;2;0;9;18;484
;14674;Soignolles;9;1;0;22;5;12;7;12;2;0;0;0;1;72
;14675;Soliers;302;4;0;425;106;206;119;135;26;2;0;15;35;1374
;14676;Sommervieu;121;2;2;199;48;122;59;67;15;3;0;7;24;671
;14677;Soulangy;23;0;0;56;5;30;12;24;10;0;0;6;10;177
;14678;Soumont-Saint-Quentin;40;1;0;106;23;76;25;55;16;0;0;4;4;351
;14679;Subles;72;1;0;139;23;80;30;52;12;1;0;11;14;435
;14680;Sully;19;0;0;25;2;17;3;12;7;0;0;0;4;89
;14681;Surrain;7;0;0;37;7;15;9;14;7;1;0;4;2;104
;14682;Surville;69;0;0;112;30;52;27;30;7;0;0;4;10;342
;14684;Tessel;12;0;0;64;4;26;9;24;6;1;0;10;13;170
;14685;Thaon;265;3;2;331;83;202;85;80;29;7;0;13;24;1124
;14687;Le Theil-en-Auge;15;1;1;42;7;18;8;11;4;0;0;2;5;113
;14689;Le Hom;303;7;2;589;111;431;188;293;91;5;0;42;83;2145
;14692;Tilly-sur-Seulles;157;2;4;313;52;192;59;123;43;1;0;22;34;1003
;14694;Le Torquesne;54;1;1;120;19;62;21;33;9;3;0;8;17;349
;14698;Touffréville;39;2;0;52;9;49;20;26;9;0;0;5;7;219
;14699;Touques;870;1;3;651;218;288;296;151;32;3;1;17;89;2620
;14700;Tour-en-Bessin;62;1;0;128;23;69;22;37;16;1;0;6;27;392
;14701;Tourgéville;247;2;4;164;77;62;88;22;5;2;1;6;42;724
;14705;Tournières;7;1;0;33;5;22;5;15;6;1;0;3;4;103
;14706;Tourville-en-Auge;42;1;0;72;13;37;15;12;2;1;0;1;7;202
;14707;Tourville-sur-Odon;142;2;0;208;37;118;59;62;22;0;1;6;19;675
;14708;Tracy-Bocage;21;0;0;54;11;50;10;30;13;0;0;2;14;206
;14709;Tracy-sur-Mer;44;1;1;67;16;45;19;18;9;0;0;0;14;236
;14710;Tréprel;4;0;0;21;0;16;5;6;6;0;0;5;2;66
;14711;Trévières;82;3;0;139;31;89;48;76;14;2;1;14;25;524
;14712;Troarn;612;18;0;966;223;685;294;336;76;7;1;53;115;3386
;14713;Montillières-sur-Orne;48;1;0;113;12;61;32;39;11;1;0;10;7;335
;14714;Le Tronquay;49;5;1;158;28;100;32;66;23;2;0;17;19;500
;14715;Trouville-sur-Mer;832;8;7;586;268;344;319;165;54;11;0;14;120;2729
;14716;Trungy;26;2;0;37;7;21;5;18;5;0;0;1;4;127
;14719;Urville;47;0;1;143;18;66;33;42;14;2;0;7;11;386
;14720;Ussy;53;0;0;163;25;126;44;81;22;1;0;12;27;553
;14721;Vacognes-Neuilly;52;1;0;140;18;64;21;30;22;2;0;7;10;368
;14723;Valsemé;21;0;0;69;12;36;15;31;8;0;0;9;4;204
;14724;Varaville;176;3;2;209;49;108;67;45;16;3;0;5;17;701
;14726;Valdallière;373;15;3;1008;131;715;306;579;175;4;1;112;145;3568
;14728;Vaucelles;88;2;0;119;24;62;26;36;6;2;0;3;5;373
;14731;Vauville;48;0;2;51;7;14;14;8;2;0;0;2;12;161
;14732;Vaux-sur-Aure;37;0;0;74;15;32;19;26;15;1;0;9;12;239
;14733;Vaux-sur-Seulles;40;1;0;55;11;41;21;28;9;3;0;4;5;218
;14734;Vendes;19;1;1;71;4;48;18;23;6;2;0;7;16;216
;14735;Vendeuvre;48;1;0;166;23;95;41;73;22;1;1;10;13;495
;14737;Versainville;38;1;0;91;11;74;21;46;8;1;1;6;7;306
;14738;Verson;574;6;1;763;176;388;213;186;43;4;0;13;45;2412
;14739;Ver-sur-Mer;242;5;4;320;77;198;93;101;30;5;0;14;30;1120
;14740;La Vespière-Friardel;126;3;1;210;35;159;75;97;27;0;0;21;29;783
;14741;Le Vey;11;0;0;20;4;11;0;6;1;0;0;1;2;56
;14742;Vicques;2;0;0;20;1;11;3;3;2;0;0;0;3;46
;14743;Victot-Pontfol;12;1;0;18;5;14;9;8;4;0;0;1;2;74
;14744;Vienne-en-Bessin;40;1;2;57;9;35;19;16;11;1;0;4;10;205
;14745;Vierville-sur-Mer;33;0;0;57;11;23;16;22;5;2;0;1;4;175
;14747;Vieux;88;1;2;127;21;93;37;47;10;3;1;3;19;451
;14748;Vieux-Bourg;11;0;0;9;5;9;7;1;0;0;0;0;1;44
;14751;Vignats;14;1;0;66;3;31;8;27;10;0;0;9;6;175
;14752;Villers-Bocage;270;2;0;583;80;363;138;186;38;4;0;28;55;1748
;14753;Villers-Canivet;64;1;2;151;16;107;28;54;17;0;0;19;16;475
;14754;Villers-sur-Mer;534;2;10;409;172;237;197;115;30;5;3;14;64;1793
;14755;Villerville;108;0;1;91;40;57;45;24;5;0;0;4;15;390
;14756;La Villette;17;0;1;34;4;31;5;25;12;2;0;9;6;146
;14758;Villons-les-Buissons;150;3;3;169;42;70;49;33;7;3;0;6;11;547
;14759;Villy-lez-Falaise;25;0;0;55;16;39;9;19;3;1;0;2;5;175
;14760;Villy-Bocage;63;1;0;179;19;93;30;62;23;0;2;8;17;496
;14761;Vimont;94;5;0;168;22;85;28;52;12;0;0;6;10;483
;14762;Vire Normandie;2061;40;18;3206;631;1784;1018;1153;381;32;5;212;493;11033
;14764;Pont-d'Ouilly;69;6;0;174;29;113;51;72;34;2;0;26;32;608
;50592;Tessy-Bocage;16;1;0;79;4;61;18;37;16;0;0;7;15;255
;ND;ND;153;0;0;269;40;112;42;57;10;4;0;6;14;708
;Total département;;87853;1560;660;123114;27525;71344;36726;40347;11670;1301;145;6522;13637;422404
Eure;27001;Aclou;27;1;0;59;13;39;14;18;11;1;0;7;11;201
;27002;Acon;49;1;0;106;15;60;27;45;16;0;0;11;16;347
;27003;Acquigny;200;5;3;330;52;205;99;101;30;3;1;22;44;1094
;27004;Aigleville;45;1;0;72;12;43;20;29;4;3;0;2;1;234
;27005;Ailly;115;0;3;246;36;140;67;71;18;1;0;6;40;743
;27006;Aizier;11;2;0;34;2;20;9;11;0;1;0;2;5;97
;27008;Alizay;180;2;2;383;53;174;77;107;38;3;0;15;26;1058
;27009;Ambenay;31;1;0;103;9;70;24;42;20;0;0;15;27;341
;27010;Amécourt;8;1;0;30;8;24;7;16;7;0;0;1;3;106
;27011;Amfreville-Saint-Amand;165;0;1;269;52;168;78;104;22;4;0;16;35;914
;27012;Amfreville-les-Champs;46;1;0;96;15;52;27;27;9;2;1;7;13;296
;27013;Amfreville-sous-les-Monts;47;2;0;96;26;64;27;40;14;0;0;7;11;334
;27014;Amfreville-sur-Iton;113;1;0;185;32;91;55;55;8;3;0;6;23;574
;27015;Andé;142;0;0;283;46;145;79;83;19;5;0;11;25;837
;27016;Les Andelys;690;6;5;1154;257;881;445;605;153;13;3;66;181;4460
;27017;Angerville-la-Campagne;359;2;1;410;70;177;76;75;14;1;1;4;15;1205
;27018;Appeville-Annebault;96;1;0;185;25;125;49;75;20;0;0;13;33;623
;27019;Armentières-sur-Avre;14;0;0;30;6;22;15;19;6;1;0;4;3;121
;27020;Arnières-sur-Iton;215;10;0;250;64;166;102;95;28;1;0;12;38;982
;27021;Asnières;39;1;0;55;6;37;15;26;17;2;0;8;12;219
;27022;Le Val d'Hazey;578;7;2;825;179;624;295;334;92;9;0;39;79;3063
;27023;Aulnay-sur-Iton;93;3;2;147;34;85;46;41;12;2;1;6;26;499
;27025;Autheuil-Authouillet;107;2;2;200;38;132;53;59;19;7;1;7;34;662
;27026;Authevernes;35;2;0;93;9;53;12;46;1;1;0;5;30;287
;27027;Les Authieux;27;0;1;49;5;42;21;20;6;0;0;2;4;178
;27028;Authou;28;1;0;40;11;48;19;36;10;0;0;4;12;210
;27031;Aviron;200;0;5;245;65;126;62;66;13;0;0;7;36;825
;27032;Chambois;130;2;1;303;42;155;61;90;29;2;0;21;31;868
;27033;Bacquepuis;30;0;0;80;11;33;17;16;8;0;0;2;6;204
;27034;Bacqueville;40;1;1;112;14;78;29;62;26;2;0;8;14;386
;27035;Bailleul-la-Vallée;12;0;0;17;5;10;4;10;4;0;0;1;4;67
;27036;Bâlines;63;1;0;84;24;69;31;39;12;0;0;9;7;340
;27037;Barc;95;6;1;248;28;142;60;85;28;0;0;17;13;723
;27038;Les Barils;21;0;0;36;11;33;10;14;5;1;0;4;5;141
;27039;Barneville-sur-Seine;49;0;1;106;25;68;26;40;14;3;0;5;7;344
;27040;Barquet;38;2;0;91;12;58;19;41;16;0;0;9;11;298
;27042;Barville;12;0;0;11;1;7;4;2;1;0;0;2;3;43
;27043;Les Baux-de-Breteuil;50;5;1;118;30;83;39;43;15;2;1;12;32;431
;27044;Les Baux-Sainte-Croix;148;5;0;176;42;88;59;51;12;1;0;10;26;617
;27045;Bazincourt-sur-Epte;84;1;1;129;37;90;55;57;16;2;0;7;33;512
;27046;Bazoques;10;0;0;28;4;15;11;11;0;1;0;2;2;85
;27047;Beaubray;27;1;0;61;4;43;19;32;6;0;0;8;7;209
;27048;Beauficel-en-Lyons;19;0;0;36;10;34;5;17;5;1;0;3;6;137
;27049;Mesnil-en-Ouche;427;3;0;880;114;520;216;334;148;7;1;69;123;2844
;27050;Beaumontel;69;0;0;115;24;75;32;46;16;0;0;10;21;409
;27051;Beaumont-le-Roger;294;3;4;473;97;320;180;198;51;2;0;32;65;1721
;27052;Le Bec-Hellouin;49;0;1;68;14;39;28;24;9;0;0;5;14;252
;27053;Le Bec-Thomas;15;0;0;41;5;27;15;18;6;0;0;2;2;132
;27054;Bémécourt;40;2;0;106;15;50;24;39;14;0;0;1;13;304
;27055;Bérengeville-la-Campagne;29;0;0;66;9;45;19;20;5;0;0;3;13;210
;27056;Bernay;1331;18;6;1634;407;870;534;484;143;26;2;84;164;5704
;27057;Bernienville;21;0;0;62;10;35;23;19;9;2;0;7;10;199
;27059;Bernouville;28;0;0;54;11;32;27;20;10;0;0;3;5;191
;27061;Berthouville;23;1;0;70;13;40;18;26;10;0;0;3;7;213
;27062;Les Monts du Roumois;151;2;0;363;43;184;75;106;26;1;1;20;31;1002
;27063;Berville-la-Campagne;8;0;0;39;13;23;11;10;2;0;0;0;6;113
;27064;Berville-sur-Mer;64;1;0;117;29;80;42;37;9;0;0;7;10;398
;27065;Beuzeville;478;7;4;851;140;506;240;270;70;10;0;43;105;2724
;27066;Bézu-la-Forêt;14;0;0;45;4;38;13;32;3;1;0;5;11;167
;27067;Bézu-Saint-Éloi;124;3;0;289;48;178;69;117;26;2;0;11;25;892
;27068;Bois-Anzeray;12;0;0;29;4;18;10;14;2;0;0;4;8;102
;27069;Bois-Arnault;54;0;0;161;21;89;38;57;20;0;2;18;24;485
;27070;Frenelles-en-Vexin;134;2;1;311;30;232;79;132;44;3;0;15;33;1017
;27071;Le Bois-Hellain;27;0;0;37;7;23;11;14;7;1;0;7;8;143
;27072;Bois-Jérôme-Saint-Ouen;119;1;1;132;35;77;44;47;16;4;1;11;21;508
;27073;Bois-le-Roi;112;1;3;242;29;122;66;78;30;1;0;15;22;722
;27074;Boisney;24;0;0;56;11;53;17;27;6;1;0;3;7;205
;27075;Bois-Normand-près-Lyre;29;1;0;43;8;49;22;31;15;0;0;9;11;219
;27076;Boisset-les-Prévanches;45;0;0;84;18;57;22;30;6;0;0;9;8;279
;27077;Boissey-le-Châtel;60;0;0;148;32;105;35;72;19;1;0;9;18;501
;27078;La Boissière;73;0;0;132;32;71;41;46;14;3;0;8;23;444
;27079;Boissy-Lamberville;38;0;0;70;8;34;9;43;13;1;0;6;9;232
;27081;Boncourt;20;1;1;44;11;14;15;9;4;0;0;2;3;125
;27082;La Bonneville-sur-Iton;238;4;1;348;78;220;149;136;47;3;0;20;49;1294
;27083;Bonneville-Aptot;17;0;0;57;5;37;2;19;6;0;0;4;5;153
;27085;Flancourt-Crescy-en-Roumois;144;0;1;304;34;198;67;102;30;2;0;18;32;933
;27089;Thénouville;104;0;1;227;23;114;42;70;20;3;2;11;16;634
;27090;Bosroumois;409;7;3;836;160;475;213;240;56;4;0;20;69;2492
;27091;Bosgouet;65;1;0;193;15;96;30;46;15;1;0;6;13;481
;27094;Bosquentin;10;0;0;27;3;20;6;13;7;0;0;2;5;94
;27095;Bosrobert;40;1;0;140;13;75;38;49;19;4;0;7;12;399
;27096;Les Bottereaux;31;0;1;57;6;42;13;36;8;0;0;8;8;210
;27097;Bouafles;75;1;0;134;20;91;41;57;6;1;1;17;21;464
;27098;Bouchevilliers;9;0;0;10;1;13;6;8;4;0;0;3;1;56
;27099;Le Boulay-Morin;99;0;1;161;33;80;51;47;13;1;0;6;14;506
;27100;Boulleville;117;1;0;294;47;130;56;73;18;3;0;12;23;774
;27101;Bouquelon;42;0;0;102;8;70;18;33;11;1;0;6;10;301
;27102;Bouquetot;109;2;0;259;32;138;52;63;31;1;1;13;33;734
;27103;Bourg-Achard;454;1;0;835;125;442;159;212;63;9;0;28;56;2385
;27104;Bourg-Beaudouin;65;1;1;146;32;103;40;50;16;1;0;7;15;478
;27105;Grand Bourgtheroulde;459;5;3;865;120;443;226;212;64;9;1;32;75;2514
;27106;Bournainville-Faverolles;58;1;0;84;16;77;24;30;13;0;1;6;8;319
;27107;Bourneville-Sainte-Croix;132;4;0;275;33;147;54;77;24;2;0;14;24;785
;27108;Bourth;107;5;1;211;44;152;73;94;39;3;1;26;38;794
;27109;Bray;23;2;0;86;10;44;14;27;6;0;0;4;7;223
;27110;Brestot;46;0;0;115;9;78;29;55;15;2;0;5;11;365
;27112;Breteuil;359;6;1;612;114;440;218;285;113;7;2;65;86;2308
;27113;Brétigny;11;0;0;27;6;17;11;14;6;0;0;2;6;100
;27114;Breuilpont;169;5;1;223;50;133;61;82;20;9;2;15;42;813
;27115;Breux-sur-Avre;45;3;0;70;9;35;17;23;5;0;0;7;9;222
;27116;Brionne;356;7;2;574;123;400;257;284;110;5;1;49;91;2257
;27117;Broglie;100;0;0;166;35;128;49;85;29;0;0;11;21;626
;27118;Brosville;75;1;0;137;22;64;38;30;13;0;0;10;11;401
;27119;Bueil;175;5;1;315;65;157;88;99;24;2;1;11;30;973
;27120;Burey;47;0;1;93;7;40;21;21;11;1;0;5;6;253
;27123;Caillouet-Orgeville;35;1;1;89;15;57;29;31;8;0;0;6;18;291
;27124;Cailly-sur-Eure;28;0;0;55;8;23;14;18;5;1;0;2;5;160
;27125;Calleville;43;2;1;131;19;89;41;47;11;2;0;11;25;422
;27126;Campigny;126;3;0;198;35;132;50;67;23;4;1;10;21;671
;27127;Canappeville;60;2;0;137;20;84;27;46;18;0;1;5;13;413
;27129;Caorches-Saint-Nicolas;80;1;1;113;27;63;39;35;15;0;0;7;13;395
;27130;Capelle-les-Grands;45;1;0;78;14;58;23;35;13;0;0;10;13;290
;27132;Caugé;125;0;0;193;48;97;55;54;13;0;0;4;13;602
;27133;Caumont;139;3;1;259;48;137;51;58;13;4;1;8;28;749
;27134;Cauverville-en-Roumois;15;0;0;43;7;40;11;15;2;0;0;4;7;145
;27135;Cesseville;24;0;0;109;14;55;24;39;8;1;0;2;12;288
;27136;Chaignes;27;0;0;64;8;35;13;26;6;2;2;2;5;191
;27137;Chaise-Dieu-du-Theil;22;1;0;37;4;19;20;24;7;2;0;8;8;151
;27138;Chamblac;31;2;2;72;10;39;22;27;17;1;0;9;3;236
;27139;Chambord;14;0;0;25;6;20;11;14;5;0;0;3;5;104
;27140;Chambray;52;1;1;82;16;52;36;22;10;0;0;5;7;285
