Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Normandie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;14098;Thue et Mue;728;14;5;1273;261;689;304;327;97;9;1;33;103;3845
;14100;Bretteville-sur-Laize;183;4;0;361;59;228;65;121;30;2;0;14;32;1098
;14101;Bretteville-sur-Odon;1169;12;7;735;246;367;233;157;30;7;1;17;76;3057
;14102;Le Breuil-en-Auge;132;4;1;228;45;97;47;44;16;0;0;9;15;638
;14103;Le Breuil-en-Bessin;39;0;0;84;8;45;18;36;12;0;0;4;8;255
;14104;Le Brévedent;12;0;0;42;11;21;8;11;6;1;0;3;6;121
;14106;Bréville-les-Monts;94;3;1;135;34;81;39;38;7;1;0;8;17;459
;14107;Bricqueville;9;0;0;25;3;21;6;14;4;0;0;6;3;91
;14110;Brucourt;11;1;0;29;6;15;7;6;2;1;2;2;6;88
;14111;Bucéels;47;0;0;94;16;52;10;30;11;2;0;9;12;283
;14116;Le Bû-sur-Rouvres;15;0;0;21;3;14;2;12;1;1;0;2;2;74
;14117;Cabourg;769;11;4;623;254;361;276;210;40;3;0;25;88;2664
;14118;Caen;13236;218;106;12246;4452;7349;5049;3834;910;181;10;452;1317;49360
;14119;Cagny;167;1;1;304;76;220;90;113;29;1;0;17;35;1055
;14120;Cahagnes;75;1;3;292;22;178;58;125;33;2;0;21;25;834
;14121;Cahagnolles;16;1;0;54;9;41;6;18;7;1;0;3;3;158
;14122;La Caine;7;0;0;26;0;23;9;14;3;2;0;3;3;91
;14123;Cairon;387;5;0;419;129;182;100;81;21;9;0;11;21;1365
;14124;La Cambe;41;0;0;117;9;70;29;57;15;0;0;11;19;370
;14125;Cambes-en-Plaine;382;4;2;328;105;167;100;74;17;5;0;10;23;1218
;14126;Cambremer;158;4;1;222;49;175;81;105;19;1;6;28;43;891
;14127;Campagnolles;43;1;0;99;13;54;22;43;14;0;0;10;18;317
;14130;Campigny;14;0;0;43;2;28;5;15;5;0;0;1;4;118
;14131;Canapville;40;0;1;43;15;20;25;17;3;0;1;3;4;172
;14132;Canchy;11;1;0;54;3;31;9;18;1;0;0;3;4;135
;14134;Canteloup;25;0;0;35;8;25;11;10;5;0;1;0;4;124
;14135;Carcagny;27;0;0;51;11;42;15;16;10;2;0;7;4;186
;14136;Cardonville;2;0;0;19;6;5;5;5;4;0;0;1;0;47
;14137;Carpiquet;385;10;1;922;115;303;171;156;41;7;1;30;46;2186
;14138;Cartigny-l'Épinay;8;0;0;48;8;48;8;28;10;2;0;3;8;172
;14140;Castillon;18;1;0;62;5;53;14;35;10;1;0;2;2;204
;14141;Castillon-en-Auge;7;2;0;24;3;21;9;14;4;0;0;5;4;93
;14143;Caumont-sur-Aure;125;5;1;417;41;269;110;220;72;3;0;46;52;1361
;14145;Cauvicourt;41;1;1;120;14;65;24;37;8;0;0;12;11;335
;14146;Cauville;9;0;0;30;7;23;10;9;6;0;3;2;10;110
;14147;Cernay;20;0;0;30;3;18;4;10;8;0;0;3;2;99
;14149;Cesny-aux-Vignes;57;1;0;131;17;79;34;40;19;1;0;11;17;409
;14150;Cesny-les-Sources;73;1;0;235;32;178;56;113;35;0;0;31;23;778
;14159;Chouain;15;0;0;51;4;31;7;10;4;1;0;3;2;129
;14160;Cintheaux;19;1;0;53;10;16;18;14;6;0;1;3;5;147
;14161;Clarbec;58;0;2;79;17;36;16;18;8;1;0;4;7;247
;14162;Clécy;98;2;0;242;34;161;64;119;34;1;0;15;35;805
;14163;Cléville;21;1;1;72;9;49;16;33;13;1;0;4;10;230
;14165;Colleville-sur-Mer;18;0;0;34;4;24;3;12;3;2;0;1;3;105
;14166;Colleville-Montgomery;411;8;3;521;137;263;174;129;35;11;0;10;53;1756
;14167;Colombelles;727;13;5;1003;258;676;385;362;127;10;0;45;103;3715
;14168;Colombières;16;0;0;39;4;26;13;12;8;0;0;7;5;130
;14169;Colombiers-sur-Seulles;17;1;0;24;5;27;11;15;1;1;0;2;6;110
;14171;Combray;8;0;0;31;3;22;5;13;6;2;0;1;5;96
;14172;Commes;44;3;2;98;18;63;25;30;11;1;0;4;13;312
;14173;Condé-sur-Ifs;32;2;4;82;11;48;16;40;7;1;0;5;14;262
;14174;Condé-en-Normandie;515;16;5;1073;199;627;347;509;163;13;3;96;171;3737
;14175;Condé-sur-Seulles;30;1;0;55;8;26;4;22;1;0;0;2;6;155
;14177;Coquainvilliers;114;0;0;181;34;113;54;37;13;0;0;4;17;568
;14179;Cordebugle;8;0;0;25;6;11;8;18;6;0;0;4;6;94
;14180;Cordey;7;1;0;24;1;20;4;16;4;0;0;5;7;90
;14181;Cormelles-le-Royal;720;12;2;861;194;482;297;248;65;10;0;33;80;3004
;14182;Cormolain;27;0;0;60;8;61;15;31;13;0;0;11;20;246
;14183;Cossesseville;10;0;0;18;0;9;3;10;6;0;0;5;1;63
;14184;Cottun;27;0;0;38;7;29;10;19;7;1;0;0;4;143
;14190;Courcy;10;1;0;29;4;16;11;9;4;0;0;4;4;91
;14191;Courseulles-sur-Mer;799;7;5;749;244;450;295;218;57;11;0;21;105;2960
;14193;Courtonne-la-Meurdrac;76;3;1;144;21;74;43;51;14;3;0;14;24;468
;14194;Courtonne-les-Deux-Églises;45;0;0;115;20;86;36;61;24;0;0;15;17;420
;14195;Courvaudon;19;0;0;50;4;29;10;22;2;2;0;6;4;149
;14196;Crépon;34;0;1;56;16;19;14;13;5;2;0;3;8;172
;14197;Cresserons;170;3;2;232;58;124;70;64;13;2;0;4;27;770
;14198;Cresseveuille;31;2;0;55;13;40;19;26;6;2;0;1;8;203
;14200;Creully sur Seulles;254;8;2;446;86;278;95;123;30;4;0;21;43;1389
;14202;Cricqueboeuf;46;2;0;45;7;23;19;4;7;2;0;1;7;162
;14203;Cricqueville-en-Auge;21;0;1;43;4;27;15;13;4;0;0;4;4;137
;14204;Cricqueville-en-Bessin;12;0;0;43;4;18;13;17;4;0;0;3;4;119
;14205;Cristot;9;0;0;53;5;27;9;22;6;0;0;3;2;136
;14206;Crocy;22;0;0;70;8;39;10;21;14;0;0;3;7;194
;14207;Croisilles;35;0;0;127;7;82;29;49;17;0;0;10;12;368
;14209;Crouay;46;3;0;118;17;63;25;46;15;1;0;10;10;354
;14211;Culey-le-Patry;26;0;1;55;10;52;11;26;14;2;0;3;12;213
;14214;Cussy;14;0;0;44;3;29;8;9;4;1;0;4;4;120
;14215;Cuverville;294;2;2;408;98;260;116;151;29;4;0;10;31;1407
;14216;Damblainville;13;1;0;38;9;26;11;19;8;0;0;2;8;135
;14218;Danestal;30;0;1;56;10;46;11;33;9;0;0;2;5;205
;14220;Deauville;1111;3;9;752;278;267;284;115;28;11;2;18;90;2968
;14221;Démouville;520;14;0;563;161;388;195;198;43;3;0;22;51;2158
;14223;Le Détroit;2;1;0;10;0;15;2;9;2;1;0;3;3;48
;14224;Deux-Jumeaux;2;1;0;16;1;7;3;9;1;0;0;0;1;41
;14225;Dives-sur-Mer;608;13;3;708;241;560;393;278;81;3;0;46;100;3035
;14226;Donnay;19;2;0;52;6;40;6;20;11;0;0;7;4;166
;14227;Douville-en-Auge;31;1;0;39;7;33;12;18;3;0;0;2;10;156
;14228;Douvres-la-Délivrande;856;16;9;936;266;526;297;247;56;9;2;23;97;3341
;14229;Dozulé;203;4;1;315;85;244;110;131;30;2;2;16;41;1184
;14230;Drubec;10;0;0;30;4;9;4;8;4;0;0;1;1;71
;14231;Beaufour-Druval;48;0;1;92;13;61;24;35;8;2;0;8;9;301
;14232;Ducy-Sainte-Marguerite;9;0;0;37;3;23;2;14;1;0;0;1;1;91
;14236;Ellon;47;2;1;90;14;54;26;41;6;0;0;2;5;287
;14237;Émiéville;71;1;1;129;23;72;32;35;9;0;0;4;7;384
;14238;Englesqueville-en-Auge;31;0;0;24;12;11;12;3;1;0;0;0;23;117
;14239;Englesqueville-la-Percée;3;0;0;21;2;13;6;11;4;0;0;1;3;64
;14240;Épaney;25;2;0;96;10;69;23;33;20;0;0;9;17;305
;14241;Épinay-sur-Odon;48;4;2;135;19;87;26;55;19;4;0;11;17;426
;14242;Épron;237;5;5;209;71;138;98;40;12;3;0;5;15;839
;14243;Équemauville;231;5;2;202;62;103;71;48;19;4;0;4;33;785
;14244;Eraines;40;1;0;71;6;44;12;19;6;1;0;3;4;208
;14245;Ernes;18;1;1;64;4;38;14;25;9;0;0;9;3;186
;14246;Escoville;107;4;0;142;33;92;53;46;7;1;0;5;15;506
;14248;Espins;11;0;0;49;5;36;12;21;6;0;0;12;3;155
;14249;Esquay-Notre-Dame;163;2;1;274;67;159;71;71;17;0;1;16;25;867
;14250;Esquay-sur-Seulles;29;2;0;72;13;32;24;24;5;0;0;4;9;213
;14251;Esson;35;4;0;124;11;60;17;37;9;2;0;12;9;320
;14252;Estrées-la-Campagne;19;1;0;49;4;38;9;12;4;1;0;4;5;147
;14254;Éterville;295;4;1;357;76;179;74;67;16;7;0;8;22;1106
;14256;Étréham;35;0;2;83;9;40;13;17;2;1;0;2;9;214
;14257;Évrecy;302;5;1;409;75;231;116;112;17;24;0;14;38;1342
;14258;Falaise;745;17;1;1197;260;772;377;482;153;7;1;89;167;4268
;14260;Fauguernon;34;0;1;56;6;21;11;13;4;1;0;3;9;160
;14261;Le Faulq;23;2;0;77;10;39;20;23;10;0;0;4;5;214
;14266;Feuguerolles-Bully;183;2;3;272;64;162;70;81;22;2;1;8;32;903
;14269;Fierville-les-Parcs;22;0;0;46;12;27;13;15;2;0;0;2;14;153
;14270;Firfol;65;2;1;73;21;60;27;28;7;0;1;3;6;294
;14271;Fleury-sur-Orne;595;13;9;714;219;487;225;228;61;6;4;25;62;2648
;14272;La Folie;5;0;0;15;3;8;8;8;3;0;0;3;4;58
;14273;La Folletière-Abenon;21;1;0;27;2;7;4;7;8;0;0;5;4;87
;14274;Fontaine-Étoupefour;392;8;4;532;114;248;121;123;20;3;1;14;56;1638
;14275;Fontaine-Henry;56;1;0;79;20;51;21;36;13;1;1;6;10;296
;14276;Fontaine-le-Pin;28;1;0;71;5;46;25;25;14;0;0;9;11;237
;14277;Fontenay-le-Marmion;212;2;3;390;52;251;73;103;24;1;0;12;25;1149
;14278;Fontenay-le-Pesnel;100;2;2;248;30;119;41;80;38;4;1;12;13;691
;14280;Formentin;22;0;0;67;6;25;13;15;9;2;0;3;5;168
;14281;Formigny La Bataille;68;0;0;146;14;93;24;56;25;1;0;17;18;462
;14282;Foulognes;5;0;0;44;4;16;5;12;9;0;0;2;10;108
;14283;Fourches;14;1;0;47;7;28;7;15;6;0;0;6;5;137
;14284;Fourneaux-le-Val;10;0;0;33;3;24;5;9;8;0;0;1;3;97
;14285;Le Fournet;5;0;0;11;4;6;3;4;3;0;0;3;0;39
