Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;21075;Billy-lès-Chanceaux;5;0;0;11;5;7;4;3;0;1;0;0;1;37
;21076;Binges;96;1;0;198;35;107;38;42;8;0;0;6;17;548
;21077;Bissey-la-Côte;10;0;0;30;4;12;8;10;2;0;0;5;3;84
;21078;Bissey-la-Pierre;7;0;0;22;0;10;2;6;1;0;0;1;2;51
;21079;Blagny-sur-Vingeanne;11;0;0;32;4;13;4;12;3;0;0;5;1;85
;21080;Blaisy-Bas;49;2;0;117;22;89;34;40;11;2;0;7;11;384
;21081;Blaisy-Haut;13;0;0;19;7;17;6;14;3;0;0;2;1;82
;21082;Blancey;6;0;0;13;3;5;5;8;1;0;0;0;1;42
;21083;Blanot;10;0;0;11;4;12;11;14;4;0;0;5;7;78
;21084;Source-Seine;7;1;0;8;2;7;6;5;0;0;0;0;2;39
;21085;Bligny-le-Sec;11;1;0;28;3;16;14;10;3;0;0;4;2;93
;21086;Bligny-lès-Beaune;182;2;2;265;53;146;72;64;22;1;0;10;24;844
;21087;Bligny-sur-Ouche;83;2;0;132;19;97;43;55;15;2;0;14;10;472
;21088;Boncourt-le-Bois;45;1;0;63;7;33;21;13;8;1;0;2;11;205
;21089;Bonnencontre;26;1;0;101;13;57;19;30;10;2;0;8;8;275
;21090;Boudreville;2;0;0;9;1;6;3;9;0;0;0;0;2;32
;21091;Bouhey;1;0;0;6;1;5;3;5;2;0;0;0;1;24
;21092;Bouilland;10;0;0;41;5;35;15;17;7;1;0;2;8;141
;21093;Bouix;19;0;0;37;7;12;13;8;4;0;0;1;11;112
;21094;Bourberain;31;1;0;85;9;48;18;35;8;0;0;4;6;245
;21095;Bousselange;2;0;0;9;2;6;1;6;2;0;0;1;3;32
;21096;Boussenois;8;1;0;23;1;10;6;9;4;0;0;2;2;67
;21097;Boussey;3;0;0;10;0;5;2;3;1;0;0;1;1;26
;21098;Boux-sous-Salmaise;9;0;0;28;7;12;7;4;8;0;0;1;5;81
;21099;Bouze-lès-Beaune;38;1;0;69;11;30;16;23;5;0;0;10;9;212
;21100;Brain;2;1;0;7;0;3;4;7;2;0;0;4;5;35
