Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Hauts-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;02075;Berthenicourt;20;1;0;41;5;31;8;9;3;0;0;1;4;122
;02076;Bertricourt;12;0;0;42;6;19;5;8;4;0;0;1;2;99
;02077;Berzy-le-Sec;49;1;1;83;11;47;26;34;6;0;0;7;9;275
;02078;Besmé;9;0;0;30;4;15;5;19;5;0;0;2;3;93
;02079;Besmont;10;0;0;21;3;19;5;16;6;0;0;6;2;88
;02080;Besny-et-Loizy;38;1;1;83;10;44;22;25;6;1;0;3;10;244
;02081;Béthancourt-en-Vaux;31;0;1;89;6;53;22;30;6;0;0;5;6;250
;02082;Beugneux;14;0;0;19;2;11;7;12;2;0;0;2;19;88
;02083;Beuvardes;66;1;0;141;17;89;45;58;16;1;0;8;17;458
;02084;Bézu-le-Guéry;21;1;1;50;3;26;17;17;4;0;0;3;9;153
;02085;Bézu-Saint-Germain;87;1;1;206;33;114;59;67;10;1;1;9;34;622
;02086;Bichancourt;96;2;0;215;21;113;51;85;24;1;0;11;14;634
;02087;Bieuxy;6;0;0;7;1;1;0;3;2;0;0;1;1;23
;02088;Bièvres;7;0;0;17;3;6;5;5;1;2;0;1;3;51
;02089;Billy-sur-Aisne;211;1;0;350;44;147;50;69;14;4;0;6;23;919
;02090;Billy-sur-Ourcq;15;1;0;34;6;33;7;12;8;0;0;5;10;133
;02091;Blanzy-lès-Fismes;9;0;0;15;3;17;3;6;2;1;0;0;3;59
;02093;Blérancourt;104;3;2;208;22;147;61;121;27;0;0;18;31;745
;02094;Blesmes;60;2;2;85;19;58;27;21;8;1;0;4;9;297
;02095;Bohain-en-Vermandois;377;8;1;563;129;505;190;316;118;2;2;57;71;2338
;02096;Bois-lès-Pargny;26;1;0;29;3;26;11;15;6;0;0;5;1;124
;02097;Boncourt;24;0;0;52;4;33;8;20;11;0;0;4;5;161
;02098;Bonneil;46;2;1;65;9;50;19;31;5;0;0;0;5;233
;02099;Bonnesvalyn;28;0;0;43;5;34;6;13;4;0;0;2;6;141
;02100;Bony;9;0;0;20;1;14;8;14;4;0;0;2;0;73
;02101;Bosmont-sur-Serre;9;0;0;31;2;25;10;13;3;0;0;2;0;95
;02102;Bouconville-Vauclair;8;1;0;37;9;21;8;5;3;0;0;0;6;98
;02103;Boué;100;0;0;219;35;140;60;86;33;1;0;18;21;712
;02104;Bouffignereux;23;0;0;23;6;9;4;5;1;0;0;1;2;74
;02105;Bouresches;26;0;0;29;5;21;7;23;3;0;0;4;6;124
;02106;Bourg-et-Comin;55;0;0;117;12;69;32;61;16;1;0;11;10;384
;02107;Bourguignon-sous-Coucy;6;1;0;21;2;9;1;15;7;0;0;0;2;65
;02108;Bourguignon-sous-Montbavin;25;0;0;25;2;14;13;4;1;0;0;0;6;90
;02109;La Bouteille;31;1;0;105;7;65;15;46;14;0;0;10;10;305
;02110;Braine;179;5;2;325;68;255;123;147;46;0;0;14;36;1202
;02111;Brancourt-en-Laonnois;75;0;1;140;23;89;43;39;18;0;0;8;20;457
;02112;Brancourt-le-Grand;56;0;0;120;18;83;31;46;17;0;0;9;20;400
;02114;Brasles;152;0;0;200;73;153;93;84;29;1;0;16;41;843
;02115;Braye-en-Laonnois;21;0;0;41;5;25;4;16;6;0;0;1;0;119
;02116;Braye-en-Thiérache;9;1;0;19;3;16;6;17;3;1;0;1;4;80
