Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Occitanie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;09079;Carla-Bayle;44;2;1;115;20;95;31;63;28;2;0;15;23;440
;09080;Carla-de-Roquefort;12;2;0;23;3;18;12;20;8;0;0;3;10;112
;09081;Le Carlaret;12;0;0;61;9;31;13;21;10;0;0;3;16;177
;09082;Castelnau-Durban;38;1;0;69;10;48;29;39;21;0;0;13;19;288
;09083;Castéras;1;0;0;3;0;0;0;2;4;0;0;4;0;13
;09084;Castex;3;3;0;10;4;12;4;7;2;0;0;3;2;50
;09085;Castillon-en-Couserans;28;2;0;50;15;43;22;31;20;1;0;13;23;247
;09086;Caumont;21;2;0;54;5;48;20;36;17;2;0;15;18;238
;09087;Caussou;9;1;0;6;4;5;0;7;1;0;0;1;2;36
;09088;Caychax;1;0;0;1;1;0;1;0;0;0;0;0;1;5
;09089;Cazals-des-Baylès;2;0;0;11;3;6;1;6;4;0;0;2;1;36
;09090;Cazaux;0;0;0;5;0;6;4;3;2;0;0;1;2;24
;09091;Cazavet;14;0;0;32;3;22;13;30;10;0;0;10;7;142
;09093;Celles;4;2;1;23;2;15;7;8;6;0;0;3;1;72
;09094;Cérizols;14;2;0;24;1;20;4;13;5;0;0;7;8;97
;09095;Cescau;16;1;0;32;3;17;7;17;5;0;0;2;7;108
;09096;Château-Verdun;13;0;0;9;5;4;2;4;1;1;0;2;1;42
;09097;Clermont;9;0;0;11;1;12;6;7;6;0;0;2;2;56
;09098;Contrazy;5;5;0;8;0;12;4;7;4;0;0;2;2;50
;09099;Cos;54;1;0;101;10;50;18;35;14;0;0;10;13;306
;09100;Couflens;10;1;0;13;5;12;6;4;6;0;0;2;1;61
;09101;Coussa;23;0;0;45;10;28;9;27;5;0;0;6;6;160
;09102;Coutens;13;0;0;24;3;26;9;16;8;0;0;5;8;111
;09103;Crampagna;97;2;3;172;15;117;33;79;15;0;3;15;29;580
;09104;Dalou;114;3;0;155;21;106;53;62;16;0;0;7;22;560
;09105;Daumazan-sur-Arize;53;0;0;99;14;94;39;66;20;0;0;32;24;442
;09106;Dreuilhe;33;1;0;69;9;45;20;35;14;0;0;22;12;261
;09107;Dun;53;1;1;88;11;70;53;66;19;0;0;26;27;415
;09108;Durban-sur-Arize;16;1;0;31;5;24;10;11;3;0;0;3;5;110
;09109;Durfort;10;2;0;28;4;18;4;16;8;1;0;4;4;99
;09110;Encourtiech;14;1;0;20;3;13;5;8;7;0;0;5;4;81
;09111;Engomer;20;3;0;45;6;38;22;36;10;0;0;11;16;207
;09113;Ercé;31;3;0;64;5;39;23;43;23;1;0;22;17;272
;09114;Erp;4;1;0;12;6;18;8;22;15;0;0;10;7;103
;09115;Esclagne;7;2;0;30;0;15;4;10;9;1;0;4;12;94
;09116;Escosse;25;1;0;78;8;48;16;34;10;0;0;9;16;245
;09117;Esplas;8;1;0;18;0;16;6;12;4;1;0;1;3;71
;09118;Esplas-de-Sérou;1;1;0;14;1;16;9;20;12;1;0;12;3;91
;09119;Eycheil;61;0;0;95;20;73;21;59;28;1;0;14;17;390
;09120;Fabas;29;2;0;37;5;26;15;27;9;2;0;20;11;184
;09121;Ferrières-sur-Ariège;133;1;0;155;38;102;32;65;20;0;0;24;19;589
;09122;Foix;1340;33;9;1915;353;1159;526;758;199;24;3;136;227;6682
;09123;Fornex;5;1;0;15;4;20;4;12;6;0;0;8;6;81
;09124;Le Fossat;89;4;0;180;34;118;53;90;15;3;0;15;21;624
;09125;Fougax-et-Barrineuf;28;1;0;75;12;57;28;39;11;0;0;11;16;278
;09126;Freychenet;2;0;0;14;5;9;3;5;4;0;0;2;6;50
;09127;Gabre;5;0;0;21;5;12;3;12;9;0;0;1;3;71
;09128;Gajan;31;1;0;64;15;48;12;33;15;1;0;12;7;240
;09129;Galey;5;2;0;15;1;9;4;8;8;0;0;6;4;63
;09130;Ganac;84;1;3;120;32;87;56;59;17;0;0;16;25;501
;09131;Garanou;19;0;0;39;7;15;8;11;2;0;0;3;3;107
