Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Provence-Alpes-Côte d Azur;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;05144;Saint-Jacques-en-Valgodemard;18;0;0;20;4;14;7;11;1;0;0;1;2;78
;05145;Saint-Jean-Saint-Nicolas;108;2;0;190;47;129;46;63;20;1;0;11;25;641
;05146;Saint-Julien-en-Beauchêne;14;3;0;15;3;10;9;17;5;1;0;6;8;91
;05147;Saint-Julien-en-Champsaur;31;1;0;71;15;50;14;30;5;0;0;11;11;240
;05148;Saint-Laurent-du-Cros;104;5;0;151;24;75;24;42;17;5;1;2;22;472
;05149;Saint-Léger-les-Mélèzes;34;1;1;80;9;53;8;23;1;0;0;0;2;212
;05151;Saint-Martin-de-Queyrières;101;7;0;211;36;157;70;92;27;0;0;18;27;747
;05152;Saint-Maurice-en-Valgodemard;17;1;0;28;7;12;4;5;1;0;0;0;4;79
;05153;Saint-Michel-de-Chaillol;45;1;1;73;13;52;18;15;4;0;0;2;2;226
;05154;Saint-Pierre-d'Argençon;23;1;0;32;5;21;12;18;3;0;0;4;2;122
;05155;Saint-Pierre-Avez;1;1;0;6;0;9;3;3;4;0;1;0;3;31
;05156;Saint-Sauveur;40;4;1;80;18;72;33;41;8;1;0;9;28;336
;05157;Saint-Véran;9;1;1;36;10;24;18;19;3;0;0;3;9;134
;05158;Le Saix;14;0;0;21;4;18;10;5;3;0;0;2;3;80
;05159;Saléon;6;0;0;11;1;8;3;12;3;0;0;3;4;51
;05160;Salérans;5;1;0;13;1;7;2;6;1;1;1;2;1;42
;05161;La Salle-les-Alpes;117;5;1;177;46;120;91;83;20;0;1;15;50;725
;05162;La Saulce;148;2;1;211;45;134;76;100;24;1;0;27;26;795
;05163;Le Sauze-du-Lac;11;0;0;30;3;17;8;10;6;0;0;0;5;91
;05164;Savines-le-Lac;151;2;2;200;50;137;65;60;21;3;1;19;32;744
;05165;Savournon;19;1;0;31;8;32;18;30;10;0;0;8;7;164
;05166;Serres;139;3;0;169;55;137;97;108;43;4;1;22;50;828
;05167;Sigottier;6;0;0;12;3;12;5;6;2;0;0;4;1;51
;05168;Sigoyer;69;3;1;127;20;101;23;49;17;4;0;9;17;439
;05169;Sorbiers;3;0;0;8;2;4;2;4;2;0;0;1;1;27
;05170;Tallard;247;5;0;376;108;243;120;141;49;1;0;18;49;1357
;05171;Théus;15;1;0;36;5;25;16;22;8;0;0;5;12;145
;05172;Trescléoux;35;1;1;52;12;38;21;37;15;0;1;14;8;235
;05173;Upaix;39;2;0;104;18;65;26;46;9;1;0;5;15;329
;05174;Val-des-Prés;55;8;1;81;38;55;53;57;8;0;0;5;24;386
;05176;Valserres;21;1;0;40;9;34;20;20;6;0;0;3;1;155
;05177;Vars;70;1;0;113;30;62;33;43;10;1;0;6;24;393
;05178;Ventavon;42;2;0;96;15;73;23;57;20;0;0;17;22;367
;05179;Veynes;341;14;1;413;115;382;194;293;100;2;1;50;113;2018
;05180;Les Vigneaux;49;5;0;94;29;57;30;48;11;0;0;15;12;349
;05181;Villar-d'Arêne;20;1;0;43;19;28;18;22;4;0;0;3;2;161
;05182;Villar-Loubière;8;0;0;6;4;4;1;1;0;0;0;0;1;25
;05183;Villar-Saint-Pancrace;166;5;2;225;71;172;88;105;34;1;1;20;37;928
;05184;Vitrolles;21;1;0;43;7;29;19;15;8;1;0;3;4;152
;ND;ND;63;2;2;75;10;26;17;16;3;1;0;2;0;217
;Total département;;17340;490;145;24364;5995;16439;8164;10252;2887;259;49;1785;3705;91874
Alpes-Maritimes;06001;Aiglun;5;0;0;6;3;11;4;3;1;0;0;0;2;36
;06002;Amirat;1;0;0;3;1;2;6;2;3;0;0;2;2;22
;06003;Andon;53;2;1;79;24;57;40;32;8;0;0;10;22;327
;06004;Antibes;15900;184;103;10468;5387;5937;5067;2673;486;188;23;269;1343;48027
;06005;Ascros;11;1;0;20;6;9;10;7;5;0;0;3;4;76
;06006;Aspremont;475;2;7;358;152;204;133;104;17;5;0;11;63;1532
;06007;Auribeau-sur-Siagne;632;11;7;596;205;281;182;160;29;17;0;23;76;2219
;06008;Auvare;1;0;0;2;1;2;3;5;3;0;0;0;1;18
;06009;Bairols;2;0;0;9;1;6;1;2;1;0;0;0;0;22
;06010;Le Bar-sur-Loup;450;12;11;511;182;295;212;167;34;11;1;37;81;2003
;06011;Beaulieu-sur-Mer;733;4;13;385;252;226;225;99;19;11;0;11;93;2070
;06012;Beausoleil;1677;11;9;1250;641;753;576;380;67;18;0;27;178;5588
;06013;Belvédère;68;1;0;105;28;59;35;41;17;0;0;6;22;382
;06014;Bendejun;109;1;0;141;52;88;50;55;16;5;0;13;21;551
;06015;Berre-les-Alpes;175;1;4;182;53;137;77;85;30;6;0;19;24;792
;06016;Beuil;56;0;1;65;17;27;37;15;6;0;0;10;11;245
;06017;Bézaudun-les-Alpes;29;1;1;44;12;22;14;25;15;0;0;6;6;176
;06018;Biot;2339;29;27;1912;657;815;598;376;56;72;5;39;179;7105
;06019;Blausasc;272;1;2;287;68;171;106;92;15;11;0;19;53;1097
;06020;La Bollène-Vésubie;60;5;0;103;26;59;22;29;13;1;0;7;16;342
;06021;Bonson;89;4;0;136;35;77;39;42;11;0;0;11;11;455
;06022;Bouyon;58;0;0;85;25;49;33;46;12;4;1;17;12;342
;06023;Breil-sur-Roya;218;3;0;272;88;216;156;181;38;3;1;31;68;1274
;06024;Briançonnet;12;0;0;23;4;17;9;9;1;0;0;4;4;84
;06025;Le Broc;183;5;2;301;72;150;88;92;27;4;0;18;49;992
;06026;Cabris;316;5;2;252;109;132;130;83;14;3;0;12;55;1113
;06027;Cagnes-sur-Mer;10092;77;59;7657;3102;3986;3214;1866;376;234;8;179;838;31689
;06028;Caille;39;0;0;65;26;47;29;31;17;0;1;6;12;273
;06029;Cannes;13901;95;107;8862;4702;4964;4906;2565;524;235;14;246;1441;42563
;06030;Le Cannet;8826;61;78;5075;2694;3092;2617;1478;311;91;4;153;707;25186
;06031;Cantaron;234;1;4;198;92;105;71;75;25;4;0;14;33;857
;06032;Cap-d'Ail;835;3;4;493;280;224;236;113;31;12;0;7;90;2329
;06033;Carros;1815;24;23;2670;537;1251;641;666;129;35;0;87;168;8046
;06034;Castagniers;235;2;3;296;78;165;91;94;20;6;0;12;39;1041
;06035;Castellar;188;1;0;163;64;96;77;48;12;0;0;5;18;671
;06036;Castillon;59;0;0;64;23;35;33;17;5;1;0;1;10;249
;06037;Caussols;42;3;0;41;18;28;17;25;7;2;1;8;15;209
;06038;Châteauneuf-Grasse;667;13;9;586;260;378;266;161;34;14;3;24;106;2519
;06039;Châteauneuf-Villevieille;134;1;0;148;51;95;54;57;13;9;0;6;24;593
;06040;Châteauneuf-d'Entraunes;3;0;0;5;3;2;1;2;0;0;0;3;1;20
;06041;Cipières;33;0;1;65;15;43;20;30;8;1;0;6;13;235
;06042;Clans;53;0;0;94;17;67;27;39;5;1;0;7;13;323
;06043;Coaraze;87;3;0;142;46;91;48;54;14;4;0;7;18;512
;06044;La Colle-sur-Loup;1816;25;24;1383;606;714;544;331;52;40;2;34;181;5753
;06045;Collongues;4;1;0;5;3;5;2;3;2;0;0;2;1;29
;06046;Colomars;608;4;12;614;210;279;224;173;29;18;1;26;80;2278
;06047;Conségudes;7;0;0;11;1;4;5;6;0;0;0;2;4;41
;06048;Contes;1077;13;6;1125;413;767;483;394;80;16;1;63;209;4647
;06049;Courmes;10;0;1;10;8;9;10;9;4;0;0;1;5;67
;06050;Coursegoules;47;1;1;82;15;74;42;40;19;3;0;10;23;358
;06051;La Croix-sur-Roudoule;5;0;0;17;1;5;3;5;3;0;0;0;1;41
;06052;Cuébris;6;1;0;11;5;10;5;9;2;0;0;0;3;53
;06053;Daluis;8;0;0;15;6;12;9;9;6;0;0;4;5;75
;06054;Drap;579;5;0;576;223;457;270;270;61;5;0;42;91;2578
;06055;Duranus;13;0;0;20;3;12;6;5;2;0;0;3;3;67
;06056;Entraunes;5;0;0;12;2;14;4;2;3;0;0;1;1;45
;06057;L'Escarène;231;4;1;346;101;230;128;146;43;3;0;27;66;1326
;06058;Escragnolles;41;2;0;84;20;59;37;44;13;0;0;9;30;339
;06059;Èze;667;1;11;439;198;206;187;93;14;10;0;11;84;1921
;06060;Falicon;416;2;4;275;112;130;149;59;16;10;0;11;44;1229
;06061;Les Ferres;7;0;0;13;2;10;2;8;1;0;0;1;0;44
;06062;Fontan;31;2;0;42;15;30;16;21;6;0;0;3;22;189
;06063;Gars;2;0;0;3;0;4;0;5;1;0;0;0;0;15
;06064;Gattières;759;17;6;732;248;448;255;225;56;6;0;51;84;2888
;06065;La Gaude;1299;17;14;1271;440;676;440;328;88;39;1;47;178;4837
;06066;Gilette;192;2;1;247;70;154;83;80;27;2;1;15;44;917
;06067;Gorbio;255;1;0;151;83;116;84;61;13;8;0;8;34;814
;06068;Gourdon;52;1;1;43;24;42;23;31;7;1;0;4;14;243
;06069;Grasse;8471;100;59;6811;2911;4730;3074;2420;503;142;8;296;1001;30527
;06070;Gréolières;60;3;0;80;21;63;38;47;13;4;0;14;20;366
;06071;Guillaumes;46;1;0;53;24;53;31;33;8;0;0;9;12;271
;06072;Ilonse;4;0;0;9;3;7;2;2;1;0;0;0;2;30
;06073;Isola;51;1;0;100;23;58;28;32;5;0;0;5;14;317
;06074;Lantosque;113;6;1;162;44;95;65;64;27;2;0;19;33;632
;06075;Levens;692;6;6;848;248;497;302;253;49;17;3;23;113;3056
;06076;Lieuche;2;0;0;11;2;2;4;5;0;0;0;1;0;27
;06077;Lucéram;139;2;0;170;66;120;69;100;17;1;0;16;37;737
;06078;Malaussène;20;0;0;58;11;34;18;18;8;0;0;3;6;176
;06079;Mandelieu-la-Napoule;5616;43;54;3790;1762;1973;1740;901;184;81;6;93;492;16734
;06080;Marie;4;0;0;9;1;4;7;8;1;0;0;1;3;39
;06081;Le Mas;13;0;0;11;2;8;4;5;2;0;0;3;2;51
;06082;Massoins;11;0;0;17;3;18;9;3;1;0;0;3;3;69
;06083;Menton;5024;38;26;3310;1868;2272;1812;1138;216;42;7;112;547;16413
;06084;Mouans-Sartoux;2345;26;37;2018;706;956;653;406;87;71;2;37;229;7572
;06085;Mougins;5460;51;89;4270;1402;1602;1360;752;132;308;3;81;520;16029
;06086;Moulinet;26;0;0;28;8;16;13;19;5;2;0;5;8;130
;06087;Les Mujouls;0;0;0;2;0;1;1;1;1;0;0;1;2;9
;06088;Nice;47360;444;406;34837;17178;21968;17301;11416;2271;820;33;1085;4690;159809
;06089;Opio;519;6;14;398;162;213;215;102;21;13;4;12;85;1764
;06090;Pégomas;1468;15;11;1273;462;734;429;311;51;22;3;53;148;4981
;06091;Peille;319;5;2;297;97;186;141;113;34;5;0;14;63;1277
;06092;Peillon;224;3;0;228;95;137;96;70;18;2;0;12;36;921
;06093;La Penne;21;0;0;29;9;25;18;14;7;1;0;5;13;142
;06094;Péone;69;0;0;108;31;58;35;48;7;0;0;5;18;379
;06095;Peymeinade;1563;22;14;1334;608;746;574;373;86;30;0;63;234;5647
;06096;Pierlas;7;1;0;8;0;3;0;3;0;0;0;1;0;23
;06097;Pierrefeu;31;2;0;58;8;31;26;26;9;0;0;6;9;207
;06098;Puget-Rostang;7;1;0;26;9;13;14;5;2;0;0;5;5;87
;06099;Puget-Théniers;127;4;1;261;56;172;106;102;27;5;0;12;35;907
;06100;Revest-les-Roches;17;0;0;30;6;13;17;9;2;0;0;0;4;98
;06101;Rigaud;15;0;1;38;7;24;8;10;7;0;0;4;5;120
;06102;Rimplas;6;2;0;7;4;7;5;8;1;0;0;0;0;40
;06103;Roquebillière;182;2;1;238;56;140;85;121;27;3;0;32;55;942
;06104;Roquebrune-Cap-Martin;2763;10;15;1532;989;872;866;414;85;26;5;32;252;7860
;06105;Roquefort-les-Pins;1524;12;22;1291;489;643;487;309;54;50;1;30;158;5069
;06106;Roquestéron;49;1;0;82;13;53;25;27;14;0;0;11;8;283
;06107;La Roque-en-Provence;2;0;0;5;0;1;4;5;2;1;0;1;2;23
;06108;La Roquette-sur-Siagne;1061;12;9;932;320;483;330;250;60;24;0;38;92;3611
;06109;La Roquette-sur-Var;93;2;0;151;33;112;55;81;20;2;0;10;15;574
;06110;Roubion;7;0;0;11;2;8;4;9;3;1;0;3;4;53
;06111;Roure;10;0;0;6;1;6;5;4;2;1;0;4;2;41
;06112;Le Rouret;831;8;11;643;279;390;273;156;38;26;0;18;107;2780
;06113;Sainte-Agnès;234;1;4;178;73;105;91;54;7;1;0;8;37;793
;06114;Saint-André-de-la-Roche;797;8;4;729;284;481;305;214;45;11;0;39;76;2992
;06115;Saint-Antonin;13;0;0;13;2;11;4;7;1;1;0;3;4;58
;06116;Saint-Auban;18;1;1;34;5;15;15;23;7;0;0;6;7;133
;06117;Saint-Blaise;172;2;0;200;58;144;72;56;14;5;2;12;28;765
;06118;Saint-Cézaire-sur-Siagne;647;9;4;695;207;450;296;225;71;17;0;45;112;2778
;06119;Saint-Dalmas-le-Selvage;9;0;0;23;4;11;5;3;4;0;0;2;1;62
;06120;Saint-Étienne-de-Tinée;147;0;4;233;43;132;81;71;14;1;0;9;30;765
;06121;Saint-Jean-Cap-Ferrat;382;3;8;218;180;104;144;46;7;11;0;1;43;1147
;06122;Saint-Jeannet;727;12;10;662;255;429;296;211;50;21;0;30;104;2806
;06123;Saint-Laurent-du-Var;6263;56;38;4698;2025;2556;1869;1217;217;67;8;111;501;19626
;06124;Saint-Léger;2;0;0;5;0;7;3;6;3;0;0;4;3;33
;06125;Saint-Martin-d'Entraunes;5;1;0;7;5;3;2;5;1;0;0;0;3;33
;06126;Saint-Martin-du-Var;384;5;1;461;126;342;162;147;39;10;0;33;54;1765
;06127;Saint-Martin-Vésubie;176;7;1;203;46;97;69;60;19;1;0;10;36;726
;06128;Saint-Paul-de-Vence;888;4;7;697;308;329;308;144;30;25;4;18;132;2894
;06129;Saint-Sauveur-sur-Tinée;36;1;0;47;10;28;14;22;2;0;0;4;11;175
;06130;Saint-Vallier-de-Thiey;541;8;4;635;178;415;229;196;50;15;0;33;112;2416
;06131;Sallagriffon;7;0;0;3;3;2;3;2;2;0;0;2;2;27
;06132;Saorge;44;0;0;38;16;29;33;26;9;0;0;6;11;212
;06133;Sauze;3;0;0;4;1;6;1;4;3;0;0;1;1;25
;06134;Séranon;53;2;0;88;15;46;28;38;20;1;0;13;16;320
;06135;Sigale;19;0;0;33;8;17;13;13;6;0;0;0;11;120
;06136;Sospel;431;1;3;540;199;360;254;221;51;9;0;34;102;2206
;06137;Spéracèdes;265;1;2;220;89;125;110;50;12;7;0;5;41;928
;06138;Théoule-sur-Mer;437;3;8;321;182;136;165;76;13;14;0;8;70;1435
;06139;Thiéry;0;0;0;3;2;3;4;3;0;0;0;0;0;15
;06140;Le Tignet;647;11;6;640;211;358;242;165;42;14;0;31;88;2453
;06141;Toudon;30;0;1;52;10;27;27;19;6;1;1;6;7;186
;06142;Touët-de-l'Escarène;32;0;0;44;17;26;21;15;5;0;0;4;9;173
;06143;Touët-sur-Var;52;1;0;113;23;64;33;35;9;0;0;5;17;352
;06144;La Tour;33;0;0;70;14;39;20;35;10;0;0;2;9;232
;06145;Tourette-du-Château;5;0;0;31;2;12;7;7;1;0;0;4;5;74
;06146;Tournefort;13;1;0;24;10;18;9;4;4;0;0;2;3;89
;06147;Tourrette-Levens;676;11;2;691;242;480;291;233;37;10;0;24;82;2777
;06148;Tourrettes-sur-Loup;745;9;11;644;306;412;366;213;49;21;2;42;119;2939
;06149;La Trinité;1433;9;8;1251;523;862;581;474;91;18;2;58;199;5509
;06150;La Turbie;703;6;3;456;191;222;167;107;13;11;2;15;71;1967
;06151;Utelle;83;2;0;116;28;74;40;46;12;2;0;9;19;431
;06152;Valbonne;2745;40;63;2987;851;1127;802;516;103;110;3;37;226;9612
;06153;Valdeblore;119;0;0;135;34;78;54;62;17;1;1;10;16;529
;06154;Valderoure;41;0;0;69;14;47;27;28;13;0;0;11;6;257
;06155;Vallauris;4776;55;49;3536;1719;2368;1870;1124;250;63;6;129;571;16513
;06156;Venanson;27;2;0;21;8;11;11;4;1;1;0;1;4;91
;06157;Vence;3300;50;23;2639;1257;1605;1382;851;181;69;1;95;435;11888
;06158;Villars-sur-Var;54;2;1;119;29;74;37;42;7;1;2;6;12;386
;06159;Villefranche-sur-Mer;1092;7;16;583;449;283;404;154;28;14;3;14;129;3176
;06160;Villeneuve-d'Entraunes;4;0;0;10;2;8;5;4;3;0;0;2;4;42
;06161;Villeneuve-Loubet;3897;32;46;3406;1158;1625;1153;638;116;67;3;55;304;12500
;06162;La Brigue;59;1;1;53;16;50;32;35;11;0;0;13;14;286
;06163;Tende;172;3;0;173;71;139;127;115;46;1;0;30;75;953
;ND;ND;110;1;0;90;18;47;20;15;5;4;0;1;3;314
;Total département;;189218;1867;1667;146267;64468;84931;65868;42762;8892;3492;186;4985;20207;634810
Bouches-du-Rhône;13001;Aix-en-Provence;23541;416;316;26076;6710;11408;6607;5472;1139;559;36;642;1916;84839
;13002;Allauch;4092;30;29;3667;1270;2007;1100;912;198;75;6;131;363;13879
;13003;Alleins;360;10;2;487;98;267;130;182;42;11;1;26;53;1668
;13004;Arles;6326;105;43;8748;1756;5976;2489;3548;1015;104;11;619;831;31570
;13005;Aubagne;7315;89;72;8317;2244;4594;2507;2335;564;174;10;309;687;29218
;13006;Aureille;207;4;2;279;63;218;87;94;23;5;0;23;44;1049
;13007;Auriol;1644;38;11;2268;556;1370;625;710;165;36;1;105;236;7765
;13008;Aurons;94;1;1;117;19;78;31;29;3;0;0;4;17;395
;13009;La Barben;115;2;3;175;39;103;55;58;12;9;1;6;15;593
;13010;Barbentane;570;6;6;753;181;468;247;284;73;10;0;49;132;2778
;13011;Les Baux-de-Provence;65;1;4;71;24;39;35;21;8;4;0;3;18;292
;13012;Beaurecueil;98;0;0;84;24;61;41;20;5;6;0;4;11;355
;13013;Belcodène;260;3;4;379;58;218;77;114;24;13;2;19;29;1198
;13014;Berre-l'Étang;1182;18;2;2359;448;1646;521;1056;274;51;1;162;176;7895
;13015;Bouc-Bel-Air;2777;29;24;3222;785;1544;688;643;151;72;6;91;199;10231
;13016;La Bouilladisse;890;11;9;1235;293;702;283;350;71;44;0;59;134;4081
;13017;Boulbon;174;4;1;346;63;156;89;116;22;6;0;17;26;1021
;13018;Cabannes;549;9;1;719;139;506;220;318;89;6;0;72;74;2701
;13019;Cabriès;1820;16;24;2077;504;974;529;441;111;57;2;54;170;6779
;13020;Cadolive;322;5;0;462;102;249;103;134;24;10;2;15;36;1465
;13021;Carry-le-Rouet;1268;7;14;1530;336;698;330;302;49;32;2;39;126;4734
;13022;Cassis;1587;6;19;1266;475;583;480;293;53;41;2;31;173;5010
;13023;Ceyreste;815;10;6;903;270;510;280;237;60;25;1;37;100;3254
;13024;Charleval;320;6;1;506;124;299;111;202;50;4;0;22;40;1685
;13025;Châteauneuf-le-Rouge;455;3;12;465;113;293;104;102;26;14;0;16;34;1636
;13026;Châteauneuf-les-Martigues;1963;22;6;3352;618;1994;631;1000;208;24;2;109;183;10111
;13027;Châteaurenard;2106;33;17;2856;630;1838;766;1075;327;24;3;179;287;10140
;13028;La Ciotat;6203;71;49;6385;2064;3876;2200;1840;399;103;2;197;613;24004
;13029;Cornillon-Confoux;209;4;2;289;71;164;91;81;17;10;0;9;33;980
;13030;Cuges-les-Pins;678;9;3;955;208;643;288;354;80;8;3;60;135;3423
;13031;La Destrousse;531;11;6;778;163;430;210;208;51;12;1;32;83;2517
;13032;Éguilles;1547;12;30;1753;472;770;420;380;84;55;0;58;185;5766
;13033;Ensuès-la-Redonne;799;9;4;1234;260;725;246;323;77;19;0;48;92;3837
;13034;Eygalières;334;1;4;446;112;185;124;116;38;12;0;22;77;1471
;13035;Eyguières;1023;18;7;1464;295;897;343;440;116;19;7;89;151;4868
;13036;Eyragues;618;12;12;793;177;462;207;269;78;17;1;51;114;2810
;13037;La Fare-les-Oliviers;1248;13;3;1804;359;1015;363;472;99;22;0;79;145;5623
;13038;Fontvieille;641;5;2;740;141;401;202;191;59;11;0;43;88;2523
;13039;Fos-sur-Mer;1907;26;6;3994;596;2086;707;1058;243;80;3;120;198;11023
;13040;Fuveau;1470;27;14;2147;471;1199;505;587;143;40;1;82;179;6867
;13041;Gardanne;2936;42;30;4039;1016;2638;1059;1279;260;72;5;179;282;13836
;13042;Gémenos;1345;29;18;1608;394;708;375;303;64;49;0;41;127;5062
;13043;Gignac-la-Nerthe;1198;22;5;2080;380;1242;431;621;129;17;0;72;156;6353
;13044;Grans;820;14;7;1027;245;609;246;296;83;15;0;62;109;3533
;13045;Graveson;677;10;5;1014;179;586;244;293;56;8;0;37;99;3208
;13046;Gréasque;627;10;13;881;182;502;202;233;40;27;0;39;74;2829
;13047;Istres;5511;107;28;7375;1839;5213;1970;2584;616;184;1;328;526;26283
;13048;Jouques;517;16;3;815;183;570;248;323;64;24;1;63;107;2934
;13049;Lamanon;294;4;3;466;95;240;104;125;29;7;0;24;32;1423
;13050;Lambesc;1377;26;17;1713;446;1018;481;531;117;28;0;57;177;5989
;13051;Lançon-Provence;1244;16;11;2001;370;1082;415;544;110;32;3;83;164;6076
;13052;Maillane;390;4;4;487;99;252;122;145;32;6;0;20;50;1611
;13053;Mallemort;796;13;5;1320;270;737;307;386;98;25;1;72;113;4143
;13054;Marignane;4347;71;62;6920;1275;4079;1395;2068;416;71;2;199;398;21303
;13055;Marseille sans arrdt;20;0;0;13;52;49;69;67;9;0;0;3;3;285
;13056;Martigues;6057;99;27;7960;1969;5323;2182;2730;616;84;4;337;573;27961
;13057;Mas-Blanc-des-Alpilles;66;0;0;124;18;55;19;36;7;2;0;4;16;347
;13058;Maussane-les-Alpilles;435;3;9;523;123;242;115;126;32;14;1;25;65;1713
;13059;Meyrargues;464;10;5;646;165;433;181;226;47;19;2;29;54;2280
;13060;Meyreuil;1016;8;21;1699;283;693;285;344;67;45;0;54;98;4613
;13061;Saint-Pierre-de-Mézoargues;34;1;1;49;7;20;16;12;6;0;0;5;7;158
;13062;Mimet;705;18;5;1086;194;575;228;284;52;20;0;36;85;3288
;13063;Miramas;2555;54;6;3490;858;3100;1115;1879;522;31;3;302;353;14268
;13064;Mollégès;368;2;1;509;104;275;101;161;47;10;0;31;59;1668
;13065;Mouriès;433;6;2;742;124;436;180;210;80;9;0;42;77;2341
;13066;Noves;766;10;5;998;225;574;269;312;99;22;2;74;108;3466
;13067;Orgon;446;4;3;585;80;337;125;212;68;6;0;46;76;1989
;13068;Paradou;329;2;4;455;86;217;97;94;21;7;1;11;61;1386
;13069;Pélissanne;1690;26;18;2007;517;1184;533;480;100;40;3;79;168;6844
;13070;La Penne-sur-Huveaune;975;13;9;994;323;667;354;363;78;17;0;39;78;3909
;13071;Les Pennes-Mirabeau;3404;36;21;4533;977;2605;977;1199;255;77;5;161;310;14562
;13072;Peynier;515;13;4;711;173;406;189;186;34;18;0;37;86;2370
;13073;Peypin;841;12;7;1254;256;726;267;342;74;22;2;62;109;3975
;13074;Peyrolles-en-Provence;570;18;5;989;168;671;229;328;72;19;3;40;88;3201
;13075;Plan-de-Cuques;2265;22;7;1693;683;988;577;452;77;29;3;71;173;7040
;13076;Plan-d'Orgon;415;6;5;737;132;411;162;240;63;17;0;32;66;2286
;13077;Port-de-Bouc;1506;16;6;2597;478;2057;700;1221;323;26;1;150;186;9268
;13078;Port-Saint-Louis-du-Rhône;733;22;1;1522;258;1036;366;607;175;14;0;104;107;4946
;13079;Puyloubier;225;4;0;294;77;187;88;91;23;5;0;19;25;1039
;13080;Le Puy-Sainte-Réparade;738;15;8;1045;259;560;270;272;68;22;1;46;85;3389
;13081;Rognac;1666;24;4;2622;478;1559;613;742;163;25;1;90;158;8145
;13082;Rognes;667;17;7;931;239;566;305;278;64;29;1;64;134;3302
;13083;Rognonas;631;7;5;767;201;421;221;219;65;6;2;34;89;2670
;13084;La Roque-d'Anthéron;545;15;4;835;144;547;212;284;77;17;1;48;92;2820
;13085;Roquefort-la-Bédoule;897;18;11;1124;264;586;294;339;72;20;1;34;92;3752
;13086;Roquevaire;1453;15;9;1708;479;1003;515;516;119;42;1;91;215;6166
;13087;Rousset;805;11;16;1214;212;548;209;261;60;24;0;24;69;3451
;13088;Le Rove;736;5;6;1121;245;652;234;292;70;16;2;31;47;3455
;13089;Saint-Andiol;387;10;2;622;118;403;172;252;66;10;0;41;73;2155
;13090;Saint-Antonin-sur-Bayon;27;0;0;44;9;16;11;4;2;0;0;3;0;117
;13091;Saint-Cannat;929;10;9;1223;266;675;312;318;82;24;0;57;104;4009
;13092;Saint-Chamas;1085;24;5;1524;371;1018;444;540;102;27;4;89;142;5375
;13093;Saint-Estève-Janson;53;1;0;81;11;41;23;20;7;0;0;3;9;249
;13094;Saint-Étienne-du-Grès;352;3;3;1383;119;257;139;136;42;17;0;23;50;2525
;13095;Saint-Marc-Jaumegarde;253;4;7;219;103;88;61;34;5;21;0;6;35;834
;13096;Saintes-Maries-de-la-Mer;352;0;4;563;102;302;141;189;57;9;0;27;45;1789
;13097;Saint-Martin-de-Crau;1871;36;4;2812;499;1659;590;864;246;36;2;144;220;8982
;13098;Saint-Mitre-les-Remparts;904;18;8;1204;282;765;321;371;100;16;0;69;99;4158
;13099;Saint-Paul-lès-Durance;207;0;1;275;30;108;47;62;19;66;0;14;35;863
;13100;Saint-Rémy-de-Provence;1808;32;25;2144;543;1094;626;539;176;49;3;95;294;7428
;13101;Saint-Savournin;477;8;2;745;163;407;158;164;37;16;0;25;64;2265
;13102;Saint-Victoret;1055;10;12;1810;262;845;313;446;92;31;1;53;88;5019
;13103;Salon-de-Provence;6634;101;43;7865;1954;4736;2205;2425;580;101;8;285;608;27545
;13104;Sausset-les-Pins;1512;15;7;1748;433;807;392;370;75;29;3;35;94;5519
;13105;Sénas;742;17;6;1268;238;842;296;467;135;12;2;73;137;4235
;13106;Septèmes-les-Vallons;1416;21;8;1832;480;1275;531;685;149;20;0;69;144;6632
;13107;Simiane-Collongue;965;10;11;1134;308;627;264;339;52;29;1;44;82;3866
;13108;Tarascon;1239;21;3;1977;409;1572;618;1090;312;14;0;197;228;7680
;13109;Le Tholonet;495;4;12;499;160;238;139;97;25;20;1;15;51;1755
;13110;Trets;1435;33;11;1967;436;1322;544;666;163;25;0;129;183;6915
;13111;Vauvenargues;183;5;2;159;41;88;40;53;9;4;1;8;35;628
;13112;Velaux;1410;16;14;2024;433;1105;447;496;102;47;1;69;184;6348
;13113;Venelles;1633;25;16;1761;507;952;517;399;96;42;1;55;160;6164
;13114;Ventabren;1101;8;12;1224;332;577;271;255;53;38;0;38;117;4026
;13115;Vernègues;246;6;4;374;64;228;91;130;32;3;0;17;38;1234
;13116;Verquières;96;1;0;164;37;85;32;67;15;2;0;11;20;529
;13117;Vitrolles;4651;109;36;7594;1311;4253;1343;2211;429;97;7;212;324;22577
;13118;Coudoux;614;4;1;758;175;396;152;164;35;17;0;27;53;2396
;13119;Carnoux-en-Provence;1187;20;5;1271;383;741;393;326;60;24;2;44;107;4562
;13201;Marseille 1er Arrondissement;1899;31;39;2277;802;1667;1030;1098;265;32;1;127;308;9578
;13202;Marseille 2e Arrondissement;1887;31;37;2581;655;1445;771;747;180;48;0;72;153;8607
