Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Provence-Alpes-Côte d Azur;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;04095;L'Hospitalet;14;0;0;21;3;12;3;12;2;0;0;2;0;70
;04096;Jausiers;132;5;0;167;50;124;67;79;22;1;0;20;30;698
;04097;La Javie;47;0;0;64;12;45;30;31;6;2;0;4;14;256
;04099;Lambruisse;6;0;0;26;2;16;2;10;4;0;0;3;1;70
;04101;Lardiers;18;0;0;18;8;19;7;13;3;0;0;1;5;93
;04102;Le Lauzet-Ubaye;19;0;0;34;7;28;18;20;6;0;0;7;8;148
;04104;Limans;21;1;0;37;8;44;21;33;10;0;0;22;10;207
;04106;Lurs;50;3;1;65;11;41;32;35;10;0;0;18;15;282
;04107;Majastres;0;0;0;0;0;1;0;3;0;0;0;0;0;4
;04108;Malijai;180;9;2;324;49;259;97;175;57;2;0;30;42;1225
;04109;Mallefougasse-Augès;51;3;0;64;15;39;14;30;13;0;0;15;16;261
;04110;Mallemoisson;120;2;0;231;36;158;64;90;21;1;0;13;37;772
;04111;Mane;137;2;1;194;51;170;108;105;32;2;2;21;61;887
;04112;Manosque;3427;51;28;4587;997;2450;1272;1416;336;77;3;204;388;15234
;04113;Marcoux;68;1;0;88;20;59;23;39;12;1;0;4;13;328
;04115;Méailles;9;0;0;19;5;7;14;10;5;0;0;7;12;89
;04116;Les Mées;377;23;3;634;127;489;183;336;103;9;0;65;91;2442
;04118;Melve;12;1;1;16;7;14;6;10;4;0;0;4;4;79
;04120;Val d'Oronaye;8;1;0;16;2;13;6;10;2;0;0;1;0;59
;04121;Mézel;60;3;0;111;30;84;49;54;12;1;0;8;19;433
;04122;Mirabeau;49;2;0;108;20;85;38;39;11;1;1;17;18;390
;04123;Mison;93;2;3;240;31;142;65;105;32;2;1;20;34;769
;04124;Montagnac-Montpezat;72;2;0;98;13;57;24;36;9;1;0;13;20;345
;04126;Montclar;45;5;3;104;14;72;23;28;12;0;0;11;9;326
;04127;Montfort;31;1;1;53;19;42;25;28;15;0;0;11;7;233
;04128;Montfuron;23;1;0;35;8;25;6;19;5;0;0;5;1;129
;04129;Montjustin;4;0;0;13;1;6;8;5;2;0;0;3;3;45
;04130;Montlaux;18;1;0;23;4;30;9;24;9;1;0;2;3;125
;04132;Montsalier;16;0;0;33;7;17;10;8;7;0;0;3;6;107
;04133;Moriez;13;1;0;31;7;25;16;27;7;0;0;8;13;148
;04134;La Motte-du-Caire;54;0;1;95;14;61;27;42;15;0;0;14;8;331
;04135;Moustiers-Sainte-Marie;79;0;2;130;29;92;55;54;18;4;2;14;21;501
;04136;La Mure-Argens;53;3;0;72;20;30;20;26;11;0;0;7;19;262
;04137;Nibles;6;0;1;3;2;6;2;3;2;0;0;4;0;29
;04138;Niozelles;22;0;0;38;20;42;8;29;7;1;0;7;3;178
;04139;Noyers-sur-Jabron;43;2;0;107;16;56;32;60;17;0;0;18;13;366
;04140;Les Omergues;13;0;0;25;5;17;9;11;7;0;0;3;4;95
;04141;Ongles;47;0;0;60;16;44;21;33;13;0;0;12;16;264
;04142;Oppedette;6;0;1;5;0;3;4;4;1;0;0;1;4;30
;04143;Oraison;767;9;3;1073;220;647;310;413;86;11;1;57;152;3751
;04144;La Palud-sur-Verdon;29;1;0;39;4;36;28;33;11;0;0;6;20;207
;04145;Peipin;166;5;0;262;49;189;79;132;37;6;0;24;34;984
;04148;Peyroules;27;2;0;42;9;24;18;12;8;0;0;8;4;154
;04149;Peyruis;252;7;1;609;102;392;143;248;75;4;0;55;79;1967
;04150;Piégut;7;0;0;32;5;23;14;15;5;0;0;0;2;103
;04151;Pierrerue;64;4;0;82;27;74;33;41;14;1;0;7;17;365
;04152;Pierrevert;600;10;8;800;232;475;242;235;58;13;1;33;105;2810
;04154;Pontis;9;0;0;16;1;15;8;7;4;0;0;4;2;66
;04155;Prads-Haute-Bléone;15;1;0;37;10;19;6;12;2;0;0;3;12;117
;04156;Puimichel;23;2;0;38;6;39;16;30;10;1;0;4;5;175
;04157;Puimoisson;63;1;1;128;37;84;46;53;22;2;0;13;30;481
;04158;Quinson;46;0;0;52;18;49;33;41;6;1;0;10;18;273
;04159;Redortiers;9;0;0;13;4;8;2;4;2;0;0;3;3;49
;04160;Reillanne;173;4;2;245;72;210;105;150;51;4;0;37;36;1089
;04161;Méolans-Revel;28;1;0;45;12;49;27;36;14;0;0;12;14;238
;04162;Revest-des-Brousses;34;1;0;33;8;28;16;19;10;1;0;1;13;165
;04163;Revest-du-Bion;59;2;0;103;18;49;17;41;7;0;0;16;14;326
;04164;Revest-Saint-Martin;8;0;0;5;1;10;8;10;4;0;0;6;10;63
;04166;Riez;177;3;1;283;67;166;124;120;45;3;1;30;52;1073
;04167;La Robine-sur-Galabre;37;3;2;58;14;27;20;26;13;1;0;3;13;216
;04169;La Rochegiron;7;1;0;19;4;11;7;11;1;0;0;2;1;64
;04170;La Rochette;4;0;0;8;2;1;2;5;1;0;0;1;1;25
;04171;Rougon;4;0;0;11;5;8;14;7;5;0;0;1;2;58
;04172;Roumoules;92;2;0;115;34;69;51;62;30;0;0;13;21;490
;04173;Saint-André-les-Alpes;133;5;0;143;41;117;61;49;16;2;0;13;23;601
;04174;Saint-Benoît;13;0;0;28;5;15;14;12;2;0;0;2;5;96
;04175;Sainte-Croix-à-Lauze;7;0;0;15;1;8;14;5;3;0;0;5;8;66
;04176;Sainte-Croix-du-Verdon;20;0;0;17;8;22;9;7;6;1;0;4;10;104
;04177;Hautes-Duyes;4;1;0;5;0;5;1;1;6;0;0;1;1;25
;04178;Saint-Étienne-les-Orgues;145;10;0;212;65;143;81;93;35;0;1;32;55;872
;04179;Saint-Geniez;10;0;0;18;2;12;8;14;3;0;0;2;3;73
;04180;Saint-Jacques;1;0;0;8;1;5;2;4;1;0;0;1;1;24
;04181;Saint-Jeannet;5;0;0;14;0;10;3;6;5;1;0;2;1;48
;04182;Saint-Julien-d'Asse;20;2;0;37;7;24;13;23;7;1;0;1;5;140
;04183;Saint-Julien-du-Verdon;20;1;1;27;4;16;13;12;2;0;0;1;5;102
;04184;Saint-Jurs;10;0;0;27;1;22;14;22;3;0;1;6;8;114
;04186;Saint-Laurent-du-Verdon;17;1;0;11;0;8;3;8;2;0;0;1;6;57
;04187;Saint-Lions;4;0;0;8;4;2;1;5;0;0;0;1;0;26
;04188;Saint-Maime;81;4;0;131;34;120;50;88;23;1;0;18;30;580
;04189;Saint-Martin-de-Brômes;79;4;1;107;34;78;36;33;10;1;0;8;6;398
;04191;Saint-Martin-lès-Seyne;1;0;0;4;0;0;3;1;0;0;0;2;0;11
;04192;Saint-Michel-l'Observatoire;151;5;1;223;62;143;90;87;31;4;0;24;44;866
;04193;Saint-Paul-sur-Ubaye;25;0;0;32;7;23;15;20;6;0;1;7;8;144
;04194;Saint-Pierre;7;0;0;13;0;5;2;9;0;0;1;3;6;46
;04195;Saint-Pons;87;3;0;136;33;97;49;53;22;1;2;15;17;516
;04197;Sainte-Tulle;445;5;0;580;144;400;204;218;59;13;2;48;55;2174
;04199;Saint-Vincent-sur-Jabron;26;0;1;25;9;26;10;12;6;0;0;3;5;123
